Filename,Transcription,Seed_Phrase,seed1,seed2,seed3,seed4,seed5,seed6,seed7,seed8,seed9,Context,Intent,WEM number,Thinking,Count
951631813.WEM,Temperature Levels Stabilizing,External Temperature is Stabilizing to optimal comfort levels.,,,,,,,,,,Environmental Status,Thermal conditions outside the suit are returning to normal operating range.,951631813,Yes,5
43830316.WEM,Technology Repaired,A nontrivial malfunction has been corrected in a technology module.,,,,,,,,,,Equipment Status,Confirmation that repairs have been completed on a damaged piece of installed equipment.,43830316,Yes,2
117536789.WEM,Additional Resources Required,Obtain more construction resources to build this item.,,,,,,,,,,Equipment Status,This alert instructs you to gather additional construction resources necessary to build an item. It is a straightforward notification indicating resource shortage for crafting.,117536789,,2
260557941.wem,Backup generators online,Backup generators are now in use,,,,,,,,,,Equipment Status,Notifies that backup power is active with limited fuel supply.,260557941,Yes,2
299876357.WEM,Freighter Acquired,Your newly acquired freighter appears to be an unmaintained hunk of junk.,,,,,,,,,,Equipment Status,"A newly acquired freighter is in poor condition, requiring maintenance and repair.",299876357,Yes,2
315361790.WEM,Multi-Tool Charge Depleted,Please monitor the power level display to prevent energy cell depletion and multitool shutdown.,,,,,,,,,,Equipment Status,Multi-tool power is completely empty. you are advised to monitor power levels while in use to avoid shutdown during operation.,315361790,Yes,2
337859118.WEM,Base Computer Online,The computer for your new base is ready for use.,,,,,,,,,,Equipment Status,The computer system for your new base is online and operational. This alert serves as a status confirmation that the base’s computer is ready for use and the full build menu is accessible.,337859118,Yes,2
353234571.WEM,New Weapon Available,A new weapon is available for you.,,,,,,,,,,Equipment Status,A weapon has become available for acquisition or use.,353234571,Yes,2
370738335.wem,Emergency damage recovery system engaged,"Extensive damage to your property has occured, self repair attempts have begun.",,,,,,,,,,Equipment Status,Alerts that severe damage has been sustained and automated repair systems are now active.,370738335,Yes,2
425064686.WEM,Arial Propulsion Jet Pack Online,"The jetpack is ready for use, you may attempt to fly like a bird.",,,,,,,,,,Equipment Status,"The jetpack is fully operational and ready for use. The message should convey readiness status clearly and succinctly, with an encouraging tone. The jetback is equipment worn by you, it is not a separate class of vehicle.",425064686,Yes,3
462791110.wem,"Welcome home, Commander","Welcome home, you deserve a rest.",,,,,,,,,,Equipment Status,"Greets you upon returning to a safe or home location, acknowledging your efforts.",462791110,Yes,2
474358890.WEM,New Freighter Acquired,You have acquired a new rust bucket junk freighter.,,,,,,,,,,Equipment Status," you have acquired a new freighter in poor condition, requiring maintenance.",474358890,Yes,2
487034870.WEM,Internal View Selected,Internal camera View Selected,,,,,,,,,,Equipment Status,you have switched to an internal camera view inside the suit or vehicle.,487034870,Yes,2
496984207.WEM,Technology Offline,A technology module has been disabled.,,,,,,,,,,Equipment Status,A functional component of the suit or equipment has been damaged and gone offline.,496984207,,2
531979220.WEM,Fuel Required,"Fuel levels are below required threshold, provide more fuel.",,,,,,,,,,Equipment Status,Fuel levels are below operational thresholds and must be replenished to continue normal function.,531979220,,2
548071497.WEM,Vehicle Deployed,Your vehicle has been deployed to your location.,,,,,,,,,,Equipment Status,Confirms that your chosen vehicle has been successfully deployed to your current location.,548071497,Yes,2
579975330.WEM,Vehicle Damage Sustained,"Moderate Vehicle Damage has been Sustained, perhaps consider retaking your driver's examination.",,,,,,,,,,Equipment Status,Your vehicle has taken medium damage from impacts or hostile fire.,579975330,Yes,2
589305615.WEM,Shield Kinetic System Online,Shield Kinetic System Online,,,,,,,,,,Equipment Status,This is typically stated when you first wakes up in your suit and is part of the startup sequence as they regain consciousness. The shield’s kinetic subsystem has been activated or restored. Message confirms status.,589305615,Yes,3
634281443.WEM,Commencing Atlas System Suit Initialization,Your Atlas Suit computer is initializing and running a self diagnostic.,,,,,,,,,,Equipment Status," This is the first message you hear upon waking.  The Atlas Suit computer system (your suit, and AI companion) is currently initializing and running a self-diagnostic process. ",634281443,Yes,3
639001585.WEM,Suit Power Cells Depleted,"Suit Power Cells Depleted, they must be recharged.",,,,,,,,,,Equipment Status,"The suit has exhausted its power reserves, rendering most functions inactive until recharged.",639001585,Yes,2
670654758.WEM,Vehicle Acquired,A new vehicle has been acquired by you.,,,,,,,,,,Equipment Status,A new exocraft or starship has been added to your usable selection.,670654758,Yes,2
682649339.WEM,New Vehicle Acquired,A new vehicle has been acquired by you.,,,,,,,,,,Equipment Status,A new vehicle has been added to your accessible assets. Message acknowledges acquisition.,682649339,Yes,2
729203380.WEM,Vehicle Mobilized,Your vehicle has been mobilized at your location,,,,,,,,,,Equipment Status,Indicates that the vehicle is ready for use at your position.,729203380,Yes,2
740830728.WEM,Refuel Vehicle,The vehicle is low on fuel and needs to be refueled or recharged immediately.,,,,,,,,,,Equipment Status,The vehicle is critically low on fuel and requires immediate refueling or recharging.,740830728,Yes,2
757274367.WEM,Technology Installed,Technology has been installed.,,,,,,,,,,Equipment Status,A new technology module has been successfully installed into your equipment.,757274367,,4
770752691.WEM,Scanner Damaged Repair Required,"The multi tool scanner has been damaged,  repairs are required before attempting to use it again.",,,,,,,,,,Equipment Status,Scanner system inoperable; you must initiate repairs to restore functionality.,770752691,Yes,2
781458145.WEM,Equipment Damaged,"Your equipment seriously damaged, some functions are impaired or offline.",,,,,,,,,,Equipment Status," your equipment has sustained significant damage, causing some systems or functions to be impaired or offline. Repairs or recalibration are required.",781458145,Yes,2
891464212.WEM,Fuel Depleted,Your vehicle fuel reserves are completely depleted.,,,,,,,,,,Equipment Status," Vehicle fuel reserves are fully depleted, disabling vehicle operation. ",891464212,Yes,2
911633476.WEM,your Initialization Sequence Complete,User Initialization Sequence Complete,,,,,,,,,,Equipment Status,Startup routine completed; your interface and systems are now online.,911633476,Yes,3
929033162.WEM,Device Critically Damaged,"Your equipped tool has taken a critical amount of damage, one or more components need repair.",,,,,,,,,,Equipment Status," One or more critical components of the currently equipped tool are severely damaged, impairing its function. Repair or replacement is required to restore full operation.",929033162,Yes,2
934987809.WEM,No Active Technology in Multi Tool,"The current multitool is useless, Install functional modules or repair damaged components if you wish to use it.",,,,,,,,,,Equipment Status,your multitool has no active modules or usable systems. Message indicates complete lack of function and suggests your intervention.,934987809,Yes,2
935180311.WEM,New Ship Now Available,"A new ship has become available for you to acquire, should you wish to accept it.",,,,,,,,,,Equipment Status,A newly available ship can now be acquired by you. Message confirms availability but does not imply urgency or direction.,935180311,Yes,2
974964870.WEM,Damage Sustained To Vehicle,"Your vehicle has taken light to moderate damage, the safety harness has been engaged.",,,,,,,,,,Equipment Status,your vehicle has sustained light to moderate damage and the safety harness has engaged as a protective response.,974964870,Yes,2
1006934470.WEM,Multi Tool And Mining Laser Attachment Operational,"Your Multi Tool is operational, as is the Mining Laser Attachment.",,,,,,,,,,Equipment Status,your multi-tool and mining laser attachment are fully operational and ready for use. The message confirms system status.,1006934470,Yes,3
1037434146.WEM,External View Selected,External camera View Selected,,,,,,,,,,Equipment Status," you have switched to an external camera view, offering a perspective outside of the suit or vehicle.",1037434146,Yes,2
1038991804.WEM,New Technology Discovered,New technology has been discovered and added to your database.,,,,,,,,,,Equipment Status,you have discovered a new piece of technology. Message confirms addition to internal database without suggesting immediate use.,1038991804,,2
1045889204.WEM,Vehicle Summoned,Your vehicle has been airdropped to this location.,,,,,,,,,,Equipment Status,Notifies you that a vehicle has been summoned and delivered to you via drop.,1045889204,Yes,2
4494640.WEM,Missile Neutralized,A Missile has been Neutralized,,,,,,,,,,Freighter Combat,A missile was fired from a hostile ship at a civilian freighter under your protection. It has now been disabled and no longer poses a threat to you or your allies.,4494640,,2
45779246.WEM,Incoming Missile Neutralized,A hostile Missile has been Neutralized,,,,,,,,,,Freighter Combat,A hostile missile threat has been neutralized and no longer poses danger to you or other friendly forces.,45779246,,2
48466939.WEM,Freighter Warp Initiated,A hostile capital ship has initiated warp and is attempting to escape.,,,,,,,,,,Freighter Combat,An attacking freighter has engaged warp engines and is attempting to flee.,48466939,Yes,2
80959229.WEM,Missile Locked,The hostile Missile has locked on to a target.,,,,,,,,,,Freighter Combat," A missile launched from a hostile ship is locked on to a civilian freighter under your protection, indicating imminent threat.",80959229,,2
167092968.WEM,Incoming Missiles Destroyed,All Incoming hostile Missiles have been Destroyed,,,,,,,,,,Freighter Combat,All incoming hostile missiles targeting you or allies have been destroyed. The message confirms total missile defense success.,167092968,,2
241169623.WEM,Missiles Destroyed,All Incoming hostile Missiles have been Destroyed,,,,,,,,,,Freighter Combat," All incoming hostile missiles have been destroyed, removing the missile threat to you and allied forces. The message confirms defense success.",241169623,,2
278919221.wem,Hyperdrive damage is critical,"Damage to the hyperdrive is extensive, attempting a jump will result in unpleasant terminal consequences.",,,,,,,,,,Freighter Combat,Warns that the hyperdrive is critically damaged and the ship attempting a jump will likely encounter catastrophic failure.,278919221,Yes,2
311554138.WEM,Warping,"Jumping to hyperspace, fasten your seatbelts and confirm your space-sickness bag is ready..",,,,,,,,,,Freighter Combat,A humorous line indicating the warp jump is underway and referencing space travel discomfort.,311554138,Yes,2
389592073.WEM,Incoming Missiles Neutralized,All Incoming hostile Missiles have been Neutralized,,,,,,,,,,Freighter Combat,All incoming missile from hostile ships aimed at your allies and civilian freighters have been neutralized.,389592073,,2
449779025.WEM,Incoming Missile Destroyed,The hostile Incoming Missile has been Destroyed,,,,,,,,,,Freighter Combat,A missile from a hostile ship aimed at a civilian freighter under your protection has been successfully destroyed before impact. The message confirms neutralization.,449779025,,2
459254064.WEM,Missile Inbound: Impact Imminent,"hostile Missile Inbound, Civilian Freighter Impact Imminent",,,,,,,,,,Freighter Combat,A hostile missile is inbound with impact imminent on a civilian freighter under your protection.,459254064,,2
565386800.WEM,Jump Engaged,"Jump engines engaged, transition to Hyperspace is imminent",,,,,,,,,,Freighter Combat," A hostile capital freighter has engaged it's Jump drive, and hyperspace transition is imminent.",565386800,Yes,2
597203928.WEM,Warp Engaged,"Warp drives powering up, prepare for jump to hyperspace.",,,,,,,,,,Freighter Combat,Signals that the hostile capital freigher's warp system is activating and a jump is imminent.,597203928,Yes,2
672799524.WEM,Missiles Neutralized,All Incoming hostile Missiles have been Neutralized,,,,,,,,,,Freighter Combat,All missilse launched from hostile ships aimed at civilian freighters and allied fores under your protection have been neutralized. The message confirms immediate safety.,672799524,,2
695050944.WEM,Missile Destroyed,The hostile Incoming Missile has been Destroyed,,,,,,,,,,Freighter Combat,A missile from a hostile ship aimed at a civilian freighter under your protection has been destroyed. The message confirms the missile no longer poses a threat.,695050944,,2
756031301.WEM,Incoming Missile,"Civilian freighter distress signal, Incoming Missile",,,,,,,,,,Freighter Combat,A civilian freighter is emitting a distress signal due to an incoming pirate attack. The freighter is asking for your assistance.,756031301,,2
776652442.WEM,Enemy Missile Incoming,"Civilian freighter is in imminint danger of Enemy missile impact, ",,,,,,,,,,Freighter Combat,A civilian freighter under your protection is imminently threatened by an enemy missile launch.,776652442,,2
972765308.WEM,Missile Locked And Ready,"Hostile Missile Locked, Civilian Freighter Targeted.",,,,,,,,,,Freighter Combat,A hostile missile has locked onto a civilian freighter target under your protection.,972765308,,2
159011641.WEM,Transferred,Something has been transferred from one inventory space to another.,,,,,,,,,,Inventory,An inventory item has been moved between slots or containers.,159011641,,2
200893742.WEM,No Free Slots In Ship Inventory,You have no physical space available to store more items in your ship cargo holds.,,,,,,,,,,Inventory,The ship's inventory is full. No additional items can be stored until space is cleared.,200893742,,2
303147008.WEM,Units Depleted,Cash reserves have been depleted.  Your account is now empty.,,,,,,,,,,Inventory,you have no money. Currency balance has dropped to zero; further purchases unavailable.,303147008,,2
431813574.WEM,Inventory Contents Transferred,Your selected inventory contents have been transferred to a new storage location.,,,,,,,,,,Inventory,"Selected inventory contents have been moved to a new storage location or compartment. The message confirms the transfer plainly, the destination storage space is not directly specified.",431813574,,2
665195778.WEM,New Inventory Slots Available,"New inventory slots have been installed for your suit, this means you have more pockets!",,,,,,,,,,Inventory," Additional inventory slots have been installed in the suit, increasing carrying capacity. The message confirms this upgrade.",665195778,Yes,2
682086836.WEM,Item Received,You have recieved an item.,,,,,,,,,,Inventory,"A generic confirmation that you have received an item, which is now added to your inventory. The message should simply confirm receipt, do not speculate on the source or describe the item.",682086836,,2
750398819.WEM,Product Transferred,A product has been transferred from one of your inventory spaces to a different inventory space.,,,,,,,,,,Inventory,An item has been moved from one inventory container to another. This is a generic routine action and does not specify contents or type of storage container.,750398819,,2
769144390.WEM,Insufficient Resources,You are attempting an action that requires a minimum accumulation of specified resources.,,,,,,,,,,Inventory,you have attempted an action requiring resources they do not currently possess in sufficient quantity. The alert informs of the insufficiency clearly with a sarcastic tone.,769144390,,2
911201958.WEM,Insufficient Units,You do not have enough monetary units to make this purchase.,,,,,,,,,,Inventory,your monetary units are insufficient to complete a purchase. The message may state this using humor and speculation on why you have no money left.,911201958,,2
925087453.WEM,Element Resources Successfully Transferred To Ship Inventory,Selected resources have been transferred to the ship cargo hold.,,,,,,,,,,Inventory,This message confirms that selected resources have been successfully transferred to the ship’s cargo hold. It is a simple status update affirming completion of a routine resource transfer action.,925087453,,2
969545875.WEM,Element Resources Successfully Transferred,Your selected Inventory items have been transferred to alternate inventory storage.,,,,,,,,,,Inventory,Selected inventory items have been successfully transferred to an alternate unspecified storage space.,969545875,,2
985789170.WEM,Product Constructed,"A product has been constructed, you may use it or sell it as needed.",,,,,,,,,,Inventory,"you have successfully fabricated a product, now stored in your inventory.",985789170,,20
243520476.WEM,Orbital Station Coordinates Received,Your navigation computer has received new Orbital Station Coordinates.,,,,,,,,,,Navigation,New coordinates for a previously unvisited orbital station have been uploaded to your navigation system.,243520476,Yes,2
288672024.WEM,Distress Signal Detected,"Another entity's distress beacon signal has been traced to the origin, coordinates are added to your navigation computer. ",,,,,,,,,,Navigation,your navigation computer has detected and traced a distress signal from another entity. Coordinates of the signal’s origin have been added to navigation systems for potential response.,288672024,Yes,2
