WEM number,Original,Seed Phrase,Final Voice Line
28697689,Radiation Damage Detected,You have taken radiation damage.,"You are exposed to dangerous radiation levels, which could potentially harm your long-term health."
28697689,Radiation Damage Detected,You have taken radiation damage.,You have been exposed to dangerous radiation levels that may severely impact your long-term health.
28697689,Radiation Damage Detected,You have taken radiation damage.,You are at risk of experiencing severe radiation exposure.
54980060,Radiation Protection Falling,Your suit ability to prevent radiation damage is compromised.,"Your suit's radiation shielding is deteriorating, making it increasingly difficult for you to protect yourself from the harmful effects of radiation."
980411923,Product Received,An new item has been added to your existing inventory.,A new item has been added to your existing inventory.
330331555,Units Received,Payment has been received and deposited.,Payment has been received and is being processed.
330331555,Units Received,Funds have been added to your account and are ready to be used.,Your funds have been successfully transferred. Please check your account details for the latest information.
1023688906,Collectible Received,A collectible item intended for personal decoration has been placed in your inventory.,A collectible item intended for personal decoration has been added to your inventory.
656990144,Extreme Sentinel Planet,Stealth won’t help you here.,You've stumbled upon an alien colony patrolled by vicious Sentinels.
774834164,Weather Update: Storm Clearing,Weather conditions have improved. You can put your umbrella away now.,Weather conditions have returned to normal. Please take care of yourself and prepare for a calm day ahead.
792296351,Technology Recharged,Your technology is powered back up.,Your technology is now fully operational.
792296351,Technology Recharged,The disabled module is now reactivated and ready for use.,The disabled module is now reactivated and ready for use.
792296351,Technology Recharged,The disabled module is now reactivated and ready for use.,The previously disabled module is now operational and can be utilized.
673620140,Warning: Sentinels Engaged,Hostile sentinels have been engaged.,Hostile sentinels have been engaged.
792296351,Technology Recharged,The disabled module is now reactivated and ready for use.,The new module is now operational and can be utilized.
943635243,Critical Damage Taken,Massive non-trivial damage has been inflicted on your body.,Your body is being subjected to significant physical damage.
673620140,Warning: Sentinels Engaged,Hostile sentinels have been engaged.,You are constantly under the threat of hostile Sentinel units.
105331281,Component Repaired,Bubblegum and duct tape will fix anything.,A broken toy car was fixed by using bubblegum and duct tape.
105331281,Component Repaired,"If it doesnt move and it should, use a hammer.","If the tool does not move, use a wrench."
105331281,Component Repaired,You have repaired a damaged equipment component with great skill.,You have fixed the broken equipment part with your expertise.
105331281,Component Repaired,"You fixed that component, well done.",The repair was successful. Thank you for your hard work!
105331281,Component Repaired,"If it moves and it should not, use duct tape.","If the device is in a position where moving would cause damage, use duct tape."
105331281,Component Repaired,"You fixed that component, well done.",The repair was successful. Thank you for your hard work!
105331281,Component Repaired,"You fixed that component, well done.","The repair was successful, thank you."
236472322,Warning: Sentinel Combat Unit Deployed,You have attracted the attention of a Sentinel combat unit.,"You are an advanced Sentinel enemy unit, and you have been deployed by the Sentinel combat unit."
792296351,Technology Recharged,A technology module has been recharged.,A technology module has been recharged.
486861530,Warning: Elite Sentinel Force,Unfriendly elite Sentinels are on the way.,A high-level hostile Sentinel unit is approaching.
78601477,Warning: Sentinel Walker Detected,"A hostile Sentinel walker has been dropped to your position, arrival imminent.",A hostile large-scale heavily armed and armoured Sentinel unit is approaching. The arrival is imminent.
78601477,Warning: Sentinel Walker Detected,"A hostile Sentinel walker has been dropped to your position, arrival imminent.",A hostile large-scale heavily armed and armoured Sentinel unit is approaching.
792296351,Technology Recharged,The disabled module is now reactivated and ready for use.,The new version of the module is now available for use.
792296351,Technology Recharged,A technology module has been recharged.,A technology module has been recharged.
792296351,Technology Recharged,Power levels have been restored to the component.,Power levels are now back in their normal operating range.
54980060,Radiation Protection Falling,Your suit ability to prevent radiation damage is compromised.,"Your suit's radiation shielding is deteriorating, making it less effective in preventing radiation damage."
330331555,Units Received,Funds have been added to your account and are ready to be used.,Money has been transferred from your account.
54980060,Radiation Protection Falling,Your suit ability to prevent radiation damage is compromised.,"Your suit's radiation shielding has deteriorated, making it less effective in preventing radiation damage."
1032826641,Weather Warning: Incoming Storm,Mother Nature is preparing to throw a tantrum.,Mother Nature is about to unleash its fury.
105331281,Component Repaired,"If it doesnt move and it should, use a hammer.","If the device does not move at all, use a hammer."
43830316,Technology Repaired,A nontrivial malfunction has been corrected in a technology module.,A nontrivial malfunction has been successfully resolved in the technology module.
105331281,Component Repaired,Bubblegum and duct tape will fix anything.,A broken toy car is now fixed by the quick-drying glue.
792296351,Technology Recharged,Energy has been restored.,Energy has been restored.
792296351,Technology Recharged,Power levels have been restored to the component.,Power levels have been restored to the component.
54980060,Radiation Protection Falling,Your suit ability to prevent radiation damage is compromised.,"Your suit's radiation shielding has deteriorated, making it less effective in preventing radiation damage."
906332741,Alert: Navigational Data Received,New data has been recieved and stored in your navigation database.,New navigational data has been received and stored in your navigation database.
330331555,Units Received,Funds have been added to your account and are ready to be used.,Your funds have been successfully transferred. Please proceed with the payment process.
330331555,Units Received,Payment has been received and deposited.,Payment has been received and is being transferred to the designated account.
792296351,Technology Recharged,The disabled module is now reactivated and ready for use.,The new module has been restored and can be used immediately.
330331555,Units Received,A large deposit was made to your bank account.,A significant amount of money has been deposited into your account.
330331555,Units Received,A large deposit was made to your bank account.,A large deposit was transferred from your bank account.
54980060,Radiation Protection Falling,Your suit ability to prevent radiation damage is compromised.,"Your suit's radiation shielding is deteriorating, making it less effective in preventing radiation damage."
1032826641,Weather Warning: Incoming Storm,Unpleasant weather is on its way.,"WEM ERROR 1032826641, HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=10).  Weather Warning: Incoming Storm"
774834164,Weather Update: Storm Clearing,The storm is over and weather conditions are stabilizing.,"The storm has passed, and the weather conditions are returning to normal."
240393094,Warning: Sentinel Drones Activated,Multiple Sentinel Drones Activated and converging on your position.,Multiple hostile drones are approaching your position.
236472322,Warning: Sentinel Combat Unit Deployed,You have attracted the attention of a Sentinel combat unit.,An advanced Sentinel enemy unit has been deployed in response to your actions.
486861530,Warning: Elite Sentinel Force,Unfriendly elite Sentinels are on the way.,A high-level hostile Sentinel unit is approaching.
968718536,Hostile Ships Approaching,Hostile starships are on apporach to your position and their weapons are armed.,Hostile starships have been observed approaching your position. Their weapons are already fully operational.
245522736,Enemy Missile Inbound,A missile has been launched by hostile forces toward a civilian freighter you are protecting.,"A missile has been fired at a civilian freighter, and the user is being defended against."
954591441,Pirate engines neutralized,"Pirate engines have been destroyed, the vessel is crippled.","Pirate ships are now immobilized, their engines no longer functioning."
711767177,Warning: civilian shields depleted,"The civilian freighter you are assigned to protect is in serious danger, their defenses have been compromised.","The civilian freighter under your protection is in a perilous situation, with its defenses now vulnerable."
330757140,Hostile Ships Defeated,"Amazingly, you survived that encounter. Did you even try to avoid being hit by enemy weapons?","Amazingly, you managed to survive the hostile encounter without taking unnecessary damage or missing evading attacks."
330331555,Units Received,Funds have been added to your account and are ready to be used.,Your funds have been successfully transferred. Please review the details for any additional instructions or confirmations.
330331555,Units Received,You have secured additional funds for your account.,Your account has been successfully credited with the funds you requested.
330331555,Units Received,A large deposit was made to your bank account.,A significant transfer of funds occurred.
980411923,Product Received,An new item has been added to your existing inventory.,A new item has been delivered and added to your existing inventory.
330331555,Units Received,A large deposit was made to your bank account.,A large deposit was transferred from your bank account.
330331555,Units Received,You received payment and it is deposited in your account.,"I have received a payment, which has been transferred to your account."
330331555,Units Received,You received payment and it is deposited in your account.,"I have received a payment, which is now being processed in your account."
330331555,Units Received,You could have received more money from that transaction.,I have received more money in this transaction.
330331555,Units Received,You received payment and it is deposited in your account.,"I have received a payment, which has been credited to your account."
330331555,Units Received,A large deposit was made to your bank account.,"A deposit of $10,000 has been credited to your account."
330331555,Units Received,A large deposit was made to your bank account.,Your account balance has increased.
330331555,Units Received,Funds have been added to your account and are ready to be used.,Your funds have been successfully transferred. Please proceed with the payment process.
330331555,Units Received,Your bank account total has increased.,Your bank account balance has been updated.
330331555,Units Received,Funds have been added to your account and are ready to be used.,Funds have been transferred from your bank account and are now available for use.
330331555,Units Received,You received payment and it is deposited in your account.,"I have received the payment, which has now been credited to your account."
330331555,Units Received,You could have received more money from that transaction.,I noticed that You might have received more money in the recent transactions.
330331555,Units Received,Your bank account total has increased.,Your bank account balance has been updated.
330331555,Units Received,A large deposit was made to your bank account.,A large deposit was made to your bank account.
330331555,Units Received,Your bank account total has increased.,Your bank account balance has been updated.
330331555,Units Received,Funds have been added to your account and are ready to be used.,Money has been transferred from your account. Please review the details and proceed with the transfer.
330331555,Units Received,Your bank account total has increased.,Your financial status has improved.
330331555,Units Received,Your bank account total has increased.,Your bank account balance has increased.
330331555,Units Received,Funds have been added to your account and are ready to be used.,I've received funds that you previously deposited into your account. They're now available for use.
330331555,Units Received,Payment has been received and deposited.,Money has been transferred.
43830316,Technology Repaired,A nontrivial malfunction has been corrected in a technology module.,A nontrivial malfunction has been successfully repaired in the technology module.
43830316,Technology Repaired,A nontrivial malfunction has been corrected in a technology module.,A nontrivial malfunction has been addressed in the installation of the faulty component.
43830316,Technology Repaired,A nontrivial malfunction has been corrected in a technology module.,The technology module is now functioning properly.
976899439,Extreme Night Temperature Detected,Extreme night cold temperature detected.,Extreme night cold temperatures detected.
884631197,Weapon Charge Depleted,"Your Weapon is out of ammo, maybe consider actually hitting something next time you fire it.","Your weapon is out of ammo, perhaps try firing it again next time."
792296351,Technology Recharged,The disabled module is now reactivated and ready for use.,The new module is now operational and can be used.
792296351,Technology Recharged,Energy has been restored.,The energy has been restored.
