Filename,Transcription,Seed_Phrase,seed1,seed2,seed3,seed4,seed5,seed6,seed7,seed8,seed9,Context,Intent,WEM number,Thinking,Count
208814791.WEM,Extreme Water Toxicity Detected,Extreme water toxicity environment detected.,,,,,,,,,,Environmental Status,Water toxicity levels detected in the environment have reached extreme danger thresholds while immersed.,208814791,Yes,2
213575654.WEM,Extreme Subterranean Temperature Detected,Extreme subterranean temperature detected.,,,,,,,,,,Environmental Status,"Sensorss have registered extremely high or low temperatures deep underground. At this time, the sensors cannot determine if the extremes are hor or cold, or there may be pockets of both. These temperatures are outside safe operating limits and may impact equipment or your safety. Review the visual heads up display for details.",213575654,Yes,2
351875919.WEM,Delve Limit Reached,It is impossible for your portable mining tools to dig any deeper due to gravitational pressure.,,,,,,,,,,Environmental Status, Portable mining equipment has reached a physical limit imposed by gravitational forces. Further excavation is impossible due to environmental constraints.,351875919,Yes,2
489352730.WEM,Extreme Water Temperature Detected,Extreme hot water environment detected.,,,,,,,,,,Environmental Status,You are exposed to extremely hot water while immersed. Review the visual heads up display for details.,489352730,Yes,2
490165063.WEM,Extreme Night Toxicity Detected,Extreme night toxicity detected.,,,,,,,,,,Environmental Status,"Extremely toxic environmental conditions have been detected during the night cycle, posing significant danger. ",490165063,Yes,2
570428671.WEM,Extreme Temperature Detected,Extreme temperature detected.,,,,,,,,,,Environmental Status,Sensors confirm dangerously high or low temperature extremes in the immediate environment. Review the visual heads up display for details.,570428671,Yes,3
653680659.WEM,Extreme Subterranean Temperature Detected,Extreme subterranean temperature detected,,,,,,,,,,Environmental Status,Sensors indicate dangerous temperature levels while exploring below the surface. There are hazardous subterranean temperature conditions that could compromise the suit.,653680659,Yes,2
675954230.WEM,Extreme Toxicity Detected,Extreme toxicity detected.,,,,,,,,,,Environmental Status,"Toxic environmental conditions have reached extreme, hazardous levels, requiring immediate protective action by you to avoid damage or poisoning.",675954230,Yes,2
696022064.WEM,Extreme Radiation Detected,Extreme radiation detected.,,,,,,,,,,Environmental Status,"Extremely high levels of radiation are detected in the current environment, requiring immediate protective measures.",696022064,Yes,15
733521599.WEM,Extreme Night Temperature Detected,Extreme night heat temperature detected.,,,,,,,,,,Environmental Status,"Extreme night-time heat levels have been detected, which may threaten suit integrity and your safety. ",733521599,Yes,2
824368356.WEM,Extreme Subterranean Radiation Detected,Extreme subterranean radiation detected.,,,,,,,,,,Environmental Status,"Extremely high subterranean radiation levels have been detected, posing severe risk to you and your and suit integrity.",824368356,Yes,2
863051935.WEM,Extreme Hazard Planet,The current planet exhibits various extreme hazards that may overwhelm your suit's protective capabilities.,,,,,,,,,,Environmental Status,The planet currently being explored presents multiple unstated extreme hazards including environmental and possibly hostile forces that may overwhelm the suit’s protective measures. ,863051935,Yes,2
899453751.WEM,Radiation Leak Detected,Intense radiation leak detected in the vicinity.,,,,,,,,,,Environmental Status,"A nearby source of intense radiation is leaking into the environment, posing a threat.",899453751,Yes,2
951631813.WEM,Temperature Levels Stabilizing,External temperature is stabilizing to optimal comfort levels.,,,,,,,,,,Environmental Status,Thermal conditions outside the suit are returning to normal operating range.,951631813,Yes,5
43830316.WEM,Technology Repaired,A nontrivial malfunction has been corrected in a technology module.,,,,,,,,,,Equipment Status,Confirmation that repairs have been completed on a damaged piece of installed equipment.,43830316,Yes,6
117536789.WEM,Additional Resources Required,Obtain more construction resources to build this item.,,,,,,,,,,Equipment Status,Youu need to gather additional construction resources to build the desired item.,117536789,,2
260557941.wem,Backup generators online,Backup generators are now in use.,,,,,,,,,,Equipment Status,Backup power is active with limited fuel supply.,260557941,Yes,2
299876357.WEM,Freighter Acquired,Your newly acquired freighter appears to be an unmaintained hunk of junk.,,,,,,,,,,Equipment Status,"A newly acquired freighter is in poor condition, requiring maintenance and repair.",299876357,Yes,2
315361790.WEM,Multi-Tool Charge Depleted,Please monitor the power level display to prevent energy cell depletion and multitool shutdown.,,,,,,,,,,Equipment Status,Multi-tool power is completely depleted. you are advised to monitor power levels while in use to avoid shutdown during operation.,315361790,Yes,2
337859118.WEM,Base Computer Online,The computer for your new base is ready for use.,,,,,,,,,,Equipment Status,The computer for your new base is online and operational. The full build menu is now accessible.,337859118,Yes,2
353234571.WEM,New Weapon Available,A new weapon is available for you.,,,,,,,,,,Equipment Status,A previously unobtainable weapon has become available for acquisition.,353234571,Yes,2
370738335.wem,Emergency damage recovery system engaged,"Extensive damage to your property has occured, self repair attempts have begun.",,,,,,,,,,Equipment Status,Severe damage has been sustained and automated repair systems are now active.,370738335,Yes,2
425064686.WEM,Arial Propulsion Jet Pack Online,"The jetpack is ready for use, you may attempt to fly like a bird.",,,,,,,,,,Equipment Status,"The jetpack is fully operational and ready for use. The jetback is equipment worn by you, it is not a separate class of vehicle.",425064686,Yes,3
462791110.wem,"Welcome home, Commander","Welcome home, you deserve a rest.",,,,,,,,,,Equipment Status,"Greeting upon returning to a safe location, acknowledging your efforts.",462791110,Yes,2
474358890.WEM,New Freighter Acquired,You have acquired a new rust bucket junk freighter.,,,,,,,,,,Equipment Status,"You have acquired a new freighter in poor condition, it is in dire needd of maintenance.",474358890,Yes,2
487034870.WEM,Internal View Selected,Internal camera view selected.,,,,,,,,,,Equipment Status,You have switched to an internal camera view of your suit or vehicle.,487034870,Yes,2
496984207.WEM,Technology Offline,A technology module has been disabled.,,,,,,,,,,Equipment Status,A component of the suit or equipment has been damaged and is now offline.,496984207,,2
531979220.WEM,Fuel Required,"Fuel levels are below required threshold, provide more fuel.",,,,,,,,,,Equipment Status,Fuel levels are below operational thresholds and must be replenished to continue normal function.,531979220,,2
548071497.WEM,Vehicle Deployed,Your vehicle has been deployed to your location.,,,,,,,,,,Equipment Status,Your selected exocraft has been successfully deployed to your current location.,548071497,Yes,2
579975330.WEM,Vehicle Damage Sustained,"Moderate vehicle damage has been sustained, perhaps consider retaking your driver's examination.",,,,,,,,,,Equipment Status,Your exocraft has taken medium damage from physical impacts or hostile weapons.,579975330,Yes,2
589305615.WEM,Shield Kinetic System Online,Shield kinetic system online.,,,,,,,,,,Equipment Status,You are now fully conscious. The suit’s kinetic shield subsystem has been activated.,589305615,Yes,3
634281443.WEM,Commencing Atlas System Suit Initialization,Your atlas suit computer is initializing and running a self diagnostic.,,,,,,,,,,Equipment Status,You are exiting a state of unconsciousness. The Atlas Suit and AI companion are initializing and running self-diagnostic processes. ,634281443,Yes,3
639001585.WEM,Suit Power Cells Depleted,"Suit power cells depleted, they must be recharged.",,,,,,,,,,Equipment Status,"The suit has exhausted its power reserves, rendering most functions inactive until recharged.",639001585,Yes,2
670654758.WEM,Vehicle Acquired,A new vehicle has been acquired by you.,,,,,,,,,,Equipment Status,A new exocraft or starship has been added to your usable selection.,670654758,Yes,2
682649339.WEM,New Vehicle Acquired,A new vehicle has been acquired by you.,,,,,,,,,,Equipment Status,A new exocraft has been added to your accessible assets.,682649339,Yes,2
729203380.WEM,Vehicle Mobilized,Your vehicle has been mobilized at your location.,,,,,,,,,,Equipment Status,An exocraft is ready for use at your location.,729203380,Yes,2
740830728.WEM,Refuel Vehicle,The vehicle is low on fuel and needs to be refueled or recharged immediately.,,,,,,,,,,Equipment Status,The exocraft is critically low on fuel and requires immediate refueling or recharging.,740830728,Yes,2
757274367.WEM,Technology Installed,Technology has been installed.,,,,,,,,,,Equipment Status,A new technology module has been successfully installed into your equipment.,757274367,,4
770752691.WEM,Scanner Damaged Repair Required,"The multi tool scanner has been damaged, repairs are required before attempting to use it again.",,,,,,,,,,Equipment Status,Scanner system inoperable; you must initiate repairs to restore functionality.,770752691,Yes,2
781458145.WEM,Equipment Damaged,"Your equipment seriously damaged, some functions are impaired or offline.",,,,,,,,,,Equipment Status,"Your equipment has sustained significant damage, causing some systems or functions to be impaired or offline. Repairs or recalibration are required.",781458145,Yes,2
891464212.WEM,Fuel Depleted,Your vehicle fuel reserves are completely depleted.,,,,,,,,,,Equipment Status,"Exocraft fuel reserves are fully depleted, disabling vehicle operation. ",891464212,Yes,2
911633476.WEM,your Initialization Sequence Complete,User initialization sequence cComplete.,,,,,,,,,,Equipment Status,Startup routine completed; your interface and systems are now online.,911633476,Yes,3
929033162.WEM,Device Critically Damaged,"Your equipped tool has taken a critical amount of damage, one or more components need repair.",,,,,,,,,,Equipment Status,"One or more critical components of the currently equipped tool are severely damaged, impairing its function. Repair or replacement is required to restore full operation.",929033162,Yes,2
934987809.WEM,No Active Technology in Multi Tool,"The current multitool is useless, Install functional modules or repair damaged components if you wish to use it.",,,,,,,,,,Equipment Status,Your multitool has no active modules or usable systems. There is a total lack of function.,934987809,Yes,2
935180311.WEM,New Ship Now Available,"A new ship has become available for you to acquire, should you wish to accept it.",,,,,,,,,,Equipment Status,A previously unobtainable ship is available for acquisition.,935180311,Yes,2
974964870.WEM,Damage Sustained To Vehicle,"Your vehicle has taken light to moderate damage, the safety harness has been engaged.",,,,,,,,,,Equipment Status,Your exocraft has sustained light to moderate damage and the safety harness has engaged as a protective response.,974964870,Yes,2
1006934470.WEM,Multi Tool And Mining Laser Attachment Operational,"Your multi tool is operational, as is the mining laser attachment.",,,,,,,,,,Equipment Status,Your multi-tool and mining laser attachment are fully operational and ready for use.,1006934470,Yes,3
1037434146.WEM,External View Selected,External camera view Selected.,,,,,,,,,,Equipment Status,"You have switched to an external camera view, offering a perspective outside of the suit or exocraft.",1037434146,Yes,2
1038991804.WEM,New Technology Discovered,New technology has been discovered and added to your database.,,,,,,,,,,Equipment Status,you have discovered a new piece of technology. Blueprint scans are added to your personal database and may be accessed at any time for review.,1038991804,,2
1045889204.WEM,Vehicle Summoned,Your vehicle has been airdropped to this location.,,,,,,,,,,Equipment Status,An exocraft has been summoned and delivered to you via orbital drop.,1045889204,Yes,2
4494640.WEM,Missile Neutralized,A missile has been neutralized.,,,,,,,,,,Freighter Combat,A missile was fired from a hostile ship at a civilian freighter under your protection. The missile is now disabled and no longer poses a threat to you or your allies.,4494640,,2
45779246.WEM,Incoming Missile Neutralized,A hostile missile has been neutralized.,,,,,,,,,,Freighter Combat,A hostile missile threat has been neutralized and no longer poses danger to you or other friendly forces.,45779246,,2
48466939.WEM,Freighter Warp Initiated,A hostile capital ship has initiated warp and is attempting to escape.,,,,,,,,,,Freighter Combat,An attacking freighter has engaged warp engines and is attempting to flee.,48466939,Yes,2
80959229.WEM,Missile Locked,The hostile missile has locked on to a target.,,,,,,,,,,Freighter Combat,"A missile launched from a hostile ship is locked on to a civilian freighter under your protection, posing an imminent threat.",80959229,,2
167092968.WEM,Incoming Missiles Destroyed,All incoming hostile missiles have been destroyed.,,,,,,,,,,Freighter Combat,All incoming hostile missiles targeting you or allies have been destroyed. Confirmed total missile defense success.,167092968,,2
241169623.WEM,Missiles Destroyed,All incoming hostile missiles have been destroyed.,,,,,,,,,,Freighter Combat,"All incoming hostile missiles have been destroyed, removing the missile threat to you and allied forces.",241169623,,2
278919221.wem,Hyperdrive damage is critical,"Damage to the hyperdrive is extensive, attempting a jump will result in unpleasant terminal consequences.",,,,,,,,,,Freighter Combat,A freighter ship is attempting a hyperspace jump and will likely encounter catastrophic failure due to a critically damaged hyperdrive.,278919221,Yes,2
311554138.WEM,Warping,"Jumping to hyperspace, fasten your seatbelts and confirm your space-sickness bag is ready.",,,,,,,,,,Freighter Combat,"A warp jump is underway, prepare for space travel discomfort.",311554138,Yes,2
389592073.WEM,Incoming Missiles Neutralized,All incoming hostile missiles have been neutralized.,,,,,,,,,,Freighter Combat,All incoming missile from hostile ships aimed at your allies and civilian freighters have been neutralized.,389592073,,2
449779025.WEM,Incoming Missile Destroyed,The hostile incoming missile has been destroyed.,,,,,,,,,,Freighter Combat,A missile from a hostile ship aimed at a civilian freighter under your protection has been successfully destroyed before impact.,449779025,,2
459254064.WEM,Missile Inbound: Impact Imminent,"Hostile missile inbound, civilian freighter impact imminent.",,,,,,,,,,Freighter Combat,A hostile missile is inbound with impact imminent on a civilian freighter under your protection.,459254064,,2
565386800.WEM,Jump Engaged,"Jump engines engaged, transition to Hyperspace is imminent.",,,,,,,,,,Freighter Combat,"A hostile capital freighter has engaged it's Jump drive, and hyperspace transition is imminent.",565386800,Yes,2
597203928.WEM,Warp Engaged,"Warp drives powering up, prepare for jump to hyperspace.",,,,,,,,,,Freighter Combat,A hostile capital freigher's warp system is activating and a jump is imminent.,597203928,Yes,2
672799524.WEM,Missiles Neutralized,All Incoming hostile missiles have been neutralized.,,,,,,,,,,Freighter Combat,All missiles launched from hostile ships aimed at civilian freighters and allied fores under your protection have been neutralized.,672799524,,2
695050944.WEM,Missile Destroyed,The hostile incoming missile has been destroyed.,,,,,,,,,,Freighter Combat,A missile from a hostile ship aimed at a civilian freighter under your protection has been destroyed.,695050944,,2
756031301.WEM,Incoming Missile,"Civilian freighter distress signal, incoming missile.",,,,,,,,,,Freighter Combat,A civilian freighter is emitting a distress signal due to an incoming pirate attack. The freighter is asking for your assistance.,756031301,,2
776652442.WEM,Enemy Missile Incoming,"Civilian freighter is in imminint danger of enemy missile impact, ",,,,,,,,,,Freighter Combat,A civilian freighter under your protection is imminently threatened by an enemy missile launch.,776652442,,2
972765308.WEM,Missile Locked And Ready,"Hostile missile locked, civilian freighter targeted.",,,,,,,,,,Freighter Combat,A hostile missile has locked onto a civilian target. The targeted freighter is under your protection.,972765308,,2
159011641.WEM,Transferred,Something has been transferred from one inventory space to another.,,,,,,,,,,Inventory,An inventory item has been moved from slot or container to another slot or container.,159011641,,2
200893742.WEM,No Free Slots In Ship Inventory,You have no physical space available to store more items in your ship cargo holds.,,,,,,,,,,Inventory,The ship's inventory is full. No additional items can be stored until space is cleared.,200893742,,2
303147008.WEM,Units Depleted,Cash reserves have been depleted. Your account is now empty.,,,,,,,,,,Inventory,You have no money. Your Currency balance has dropped to zero; further purchases can not be made until you bring your balance above zero.,303147008,,2
431813574.WEM,Inventory Contents Transferred,Your selected inventory contents have been transferred to a new storage location.,,,,,,,,,,Inventory,Selected inventory contents have been moved to a new storage location or compartment. ,431813574,,2
665195778.WEM,New Inventory Slots Available,"New inventory slots have been installed for your suit, this means you have more pockets!",,,,,,,,,,Inventory,"Additional inventory slots have been installed in your suit, increasing carrying capacity.",665195778,Yes,2
682086836.WEM,Item Received,You have recieved an item.,,,,,,,,,,Inventory,"You have received an item, which is now added to your inventory.",682086836,,2
750398819.WEM,Product Transferred,A product has been transferred from one of your inventory spaces to a different inventory space.,,,,,,,,,,Inventory,An item has been moved from one inventory container to another.,750398819,,2
769144390.WEM,Insufficient Resources,You are attempting an action that requires a minimum accumulation of specified resources.,,,,,,,,,,Inventory,you have attempted an action requiring resources you do not currently possess in sufficient quantity.,769144390,,2
911201958.WEM,Insufficient Units,You do not have enough monetary units to make this purchase.,,,,,,,,,,Inventory,your monetary units are insufficient to complete a purchase.,911201958,,2
925087453.WEM,Element Resources Successfully Transferred To Ship Inventory,Selected resources have been transferred to the ship cargo hold.,,,,,,,,,,Inventory,Selected resources have been successfully transferred to the ship’s cargo hold.,925087453,,2
969545875.WEM,Element Resources Successfully Transferred,Your selected inventory items have been transferred to alternate inventory storage.,,,,,,,,,,Inventory,Selected inventory items have been successfully transferred to an alternate unspecified storage space.,969545875,,2
985789170.WEM,Product Constructed,"A product has been constructed, you may use it or sell it as needed.",,,,,,,,,,Inventory,"You have successfully fabricated a product, it is now stored in your inventory.",985789170,,20
243520476.WEM,Orbital Station Coordinates Received,Your navigation computer has received new Orbital Station Coordinates.,,,,,,,,,,Navigation,New coordinates for a previously unvisited orbital station have been uploaded to your navigation system.,243520476,Yes,2
288672024.WEM,Distress Signal Detected,"Another entity's distress beacon signal has been traced to the origin, coordinates are added to your navigation computer. ",,,,,,,,,,Navigation,Your navigation computer has detected and traced a distress signal from another entity. Coordinates of the signal’s origin have been added to navigation systems for potential response.,288672024,Yes,2
334124591.WEM,Base Out Of Range,"You have travelled beyond the limits of the legally claimed region of your base, build options will be limited.",,,,,,,,,,Navigation,"You have traveled outside the legally claimed region boundaries of your base. This limits building options in the current area. Outside the base, there are a only a handful of small portble items availabe to be constructed and placed.",334124591,Yes,2
436192208.WEM,Starship Signal Detected,"A starship has been detected, coordinates have been added to your navigation database.",,,,,,,,,,Navigation,"A signal has been detected that may be of interest to you, it appears to match a standard starship distress frequency. Navigation coordinates are marked should you wish to investigate.",436192208,Yes,3
545382948.WEM,Sigil Trait Module Located,"A module for sigil traits has been located, stand by for details.",,,,,,,,,,Navigation,"A rare upgrade module relevant to Sigil Traits has been found, it awaits your interaction.",545382948,Yes,2
705081998.wem,Anomoly detected,An anomoly has been detected that may be worth investigation.,,,,,,,,,,Navigation,There is an unusual phenomenon detected nearby that may be worth exploring.,705081998,Yes,2
906001973.WEM,Jumping,"Hyperspace jump is underway, perceptual distortion effects can be mitigated by adequate hydration.",,,,,,,,,,Navigation,The hyperspace jump is currently underway. Unpleasant physical sensations such as dizziness or nausea as a result of visual or sensory distortions is absolutely normal.,906001973,Yes,2
906332741.WEM,Alert: Navigational Data Received,New data has been recieved and stored in your navigation database.,,,,,,,,,,Navigation,New navigational data has been received and stored in the navigation database.,906332741,,8
965460983.WEM,Out Of Range: Return To Base,"You are out of range of your base, some actions will not be possible until you return.",,,,,,,,,,Navigation,You have moved outside of your base's functional area. Certain construction opportunities are disabled outside the base boundary.,965460983,Yes,2
64910055.WEM,Warning,"Your check engine light is on, which is odd, because biological entities do not have engines.",,,,,,,,,,Notification,You are acting irrationally or unsustainably.,64910055,Yes,2
178898599.WEM,Warning,You should strongly reconsider your decisions.,,,,,,,,,,Notification,"You may want to rethink recent choices, negative consequences may follow if you insist on continuing with your current actions.",178898599,,2
205192151.WEM,Warning,This course of action is ill-advised.,,,,,,,,,,Notification,Your actions are not recommended and may be dangerous or inefficient.,205192151,,2
225625917.WEM,Objective Complete,"Well done, your objective has been completed, you deserve a cookie!",,,,,,,,,,Notification,A mission or assigned task has been successfully completed. A self administered food reward would be appropriate.,225625917,,2
