WEM number,Original,Seed,Reworded,Model_Seed,Model
208814791,Extreme Water Toxicity Detected,Extreme water toxicity environment detected.,Water toxicity levels are high and pose a significant risk to aquatic life.,5834655,qwen2.5:0.5b
213575654,Extreme Subterranean Temperature Detected,Extreme subterranean temperature detected.,Extreme subterranean temperature readings observed.,6732563,qwen2.5:0.5b
351875919,Delve Limit Reached,It is impossible for your portable mining tools to dig any deeper due to gravitational pressure.,"It is not possible for your portable mining equipment to reach the desired depth, as it is constrained by gravitational forces.",141619,qwen2.5:0.5b
489352730,Extreme Water Temperature Detected,Extreme hot water environment detected.,"You are always in an extremely hot water environment, and it is recommended to review the visual head-up display for more detailed information.",157892,qwen2.5:0.5b
490165063,Extreme Night Toxicity Detected,Extreme night toxicity detected.,"The extreme night conditions have been observed, indicating a high level of environmental toxicity.",9926399,qwen2.5:0.5b
570428671,Extreme Temperature Detected,Extreme temperature detected.,Extreme temperatures have been reported in the immediate environment.,7308945,qwen2.5:0.5b
653680659,Extreme Subterranean Temperature Detected,Extreme subterranean temperature detected,"Sensors reveal extreme subterranean temperatures, alerting of potential hazards.",3859670,qwen2.5:0.5b
675954230,Extreme Toxicity Detected,Extreme toxicity detected.,"Extreme toxic environmental conditions are currently experiencing extreme, hazardous levels. Immediate protective measures must be taken to prevent any potential harm or adverse effects.",825977,qwen2.5:0.5b
696022064,Extreme Radiation Detected,Extreme radiation detected.,Extreme radiation is currently present. Immediate protective measures must be taken.,8067969,qwen2.5:0.5b
733521599,Extreme Night Temperature Detected,Extreme night heat temperature detected.,"Extreme night-time heat temperatures are observed, posing a potential threat to your suit's integrity and safety.",5524513,qwen2.5:0.5b
824368356,Extreme Subterranean Radiation Detected,Extreme subterranean radiation detected.,Extreme subterranean radiation alert received. Please ensure adequate protective measures are in place.,421496,qwen2.5:0.5b
863051935,Extreme Hazard Planet,The current planet exhibits various extreme hazards that may overwhelm your suit's protective capabilities.,"The current planet is fraught with numerous potential dangers, particularly concerning environmental and potentially hostile elements that could render your suit's defense mechanisms ineffective.",569523,qwen2.5:0.5b
899453751,Radiation Leak Detected,Intense radiation leak detected in the vicinity.,An intense radiation leak has been detected near the area.,8443309,qwen2.5:0.5b
951631813,Temperature Levels Stabilizing,External temperature is stabilizing to optimal comfort levels.,The current external temperature is in a stable and comfortable zone.,2037404,qwen2.5:0.5b
43830316,Technology Repaired,A nontrivial malfunction has been corrected in a technology module.,A nontrivial malfunction has been repaired in the technology module.,9657524,qwen2.5:0.5b
117536789,Additional Resources Required,Obtain more construction resources to build this item.,Gather additional construction resources to build this item.,2540791,qwen2.5:0.5b
260557941,Backup generators online,Backup generators are now in use.,Backup generators are currently operating.,3391143,qwen2.5:0.5b
299876357,Freighter Acquired,Your newly acquired freighter appears to be an unmaintained hunk of junk.,"Your newly acquired freighter is in a state of disrepair, necessitating immediate attention.",3377634,qwen2.5:0.5b
315361790,Multi-Tool Charge Depleted,Please monitor the power level display to prevent energy cell depletion and multitool shutdown.,Please keep an eye on the power level display to ensure optimal performance and prevent any potential issues with your multi-tool.,5760898,qwen2.5:0.5b
337859118,Base Computer Online,The computer for your new base is ready for use.,The computer for your new base is ready for use.,8462875,qwen2.5:0.5b
353234571,New Weapon Available,A new weapon is available for you.,"A previously unobtainable weapon, now available for You.",3024929,qwen2.5:0.5b
370738335,Emergency damage recovery system engaged,"Extensive damage to your property has occured, self repair attempts have begun.","Extensive damage to Your property has occurred, and the automated repair systems are now active.",6732287,qwen2.5:0.5b
425064686,Arial Propulsion Jet Pack Online,"The jetpack is ready for use, you may attempt to fly like a bird.",The jetpack is fully operational and ready for use. You may attempt to fly like a bird.,6865735,qwen2.5:0.5b
462791110,"Welcome home, Commander","Welcome home, you deserve a rest.","Good evening, You. Rest well, for tonight's journey is about time.",4943803,qwen2.5:0.5b
474358890,New Freighter Acquired,You have acquired a new rust bucket junk freighter.,You have acquired a new rusty cargo ship. It is in an urgent state and requires immediate repair.,1335891,qwen2.5:0.5b
487034870,Internal View Selected,Internal camera view selected.,The user has requested a video feed from their internal camera.,6834755,qwen2.5:0.5b
496984207,Technology Offline,A technology module has been disabled.,"A device that controls a system has malfunctioned, and it's currently inoperative.",6547435,qwen2.5:0.5b
531979220,Fuel Required,"Fuel levels are below required threshold, provide more fuel.",Fuel levels are below operational thresholds; please replenish with additional fuel.,1825136,qwen2.5:0.5b
548071497,Vehicle Deployed,Your vehicle has been deployed to your location.,Your exo-vehicle has been successfully deployed to your current location.,1898851,qwen2.5:0.5b
579975330,Vehicle Damage Sustained,"Moderate vehicle damage has been sustained, perhaps consider retaking your driver's examination.","Moderate vehicle damage has been sustained, perhaps consider retaking your driver's examination.",7771063,qwen2.5:0.5b
589305615,Shield Kinetic System Online,Shield kinetic system online.,The kinetic shield system is currently operational.,8742393,qwen2.5:0.5b
634281443,Commencing Atlas System Suit Initialization,Your atlas suit computer is initializing and running a self diagnostic.,Your Atlas Suit computer is currently in the process of self-diagnosis.,1782978,qwen2.5:0.5b
639001585,Suit Power Cells Depleted,"Suit power cells depleted, they must be recharged.","Suit's power cells have run low, necessitating a recharge.",7425879,qwen2.5:0.5b
670654758,Vehicle Acquired,A new vehicle has been acquired by you.,A new exovehicle has been added to your available options.,7129690,qwen2.5:0.5b
682649339,New Vehicle Acquired,A new vehicle has been acquired by you.,A new exo-vehicle has been installed on your accessible assets.,2231737,qwen2.5:0.5b
729203380,Vehicle Mobilized,Your vehicle has been mobilized at your location.,Your exo-vehicle is ready for use at your location.,6438186,qwen2.5:0.5b
740830728,Refuel Vehicle,The vehicle is low on fuel and needs to be refueled or recharged immediately.,"The exo-craft's fuel supply is extremely limited, necessitating prompt replenishment or recharge.",3299895,qwen2.5:0.5b
757274367,Technology Installed,Technology has been installed.,A new technology module has been successfully installed in your equipment.,3879714,qwen2.5:0.5b
770752691,Scanner Damaged Repair Required,"The multi tool scanner has been damaged, repairs are required before attempting to use it again.",The multi tool scanner is malfunctioning. Immediate repair is necessary to restore its functionality.,5296780,qwen2.5:0.5b
781458145,Equipment Damaged,"Your equipment seriously damaged, some functions are impaired or offline.","Your equipment is severely damaged, and some functions are malfunctioning or unavailable.",8606950,qwen2.5:0.5b
891464212,Fuel Depleted,Your vehicle fuel reserves are completely depleted.,Your vehicle fuel reserves are completely depleted.,7083478,qwen2.5:0.5b
911633476,your Initialization Sequence Complete,User initialization sequence cComplete.,Your startup routine is complete. Your interface and systems are now online.,9816310,qwen2.5:0.5b
929033162,Device Critically Damaged,"Your equipped tool has taken a critical amount of damage, one or more components need repair.","Your equipped tool has suffered significant damage, necessitating immediate repair or replacement to ensure optimal functionality.",1132782,qwen2.5:0.5b
934987809,No Active Technology in Multi Tool,"The current multitool is useless, Install functional modules or repair damaged components if you wish to use it.",The current multitool is inoperable; install the necessary modules or address any damages to ensure it functions properly.,9877120,qwen2.5:0.5b
935180311,New Ship Now Available,"A new ship has become available for you to acquire, should you wish to accept it.",A previously unobtainable ship is now available for your consideration.,598493,qwen2.5:0.5b
974964870,Damage Sustained To Vehicle,"Your vehicle has taken light to moderate damage, the safety harness has been engaged.","Your exo-vehicle has sustained light to moderate damage, the safety harness has been engaged as a protective response.",1431851,qwen2.5:0.5b
1006934470,Multi Tool And Mining Laser Attachment Operational,"Your multi tool is operational, as is the mining laser attachment.",Your multi-tool and mining laser attachment are fully operational and ready for use.,9169930,qwen2.5:0.5b
1037434146,External View Selected,External camera view Selected.,External camera view View from the exterior of the suit or exocraft.,7029986,qwen2.5:0.5b
1038991804,New Technology Discovered,New technology has been discovered and added to your database.,"New technology has been discovered and added to your personal database, allowing you to access it whenever needed.",5551850,qwen2.5:0.5b
1045889204,Vehicle Summoned,Your vehicle has been airdropped to this location.,Your exo-mechanical vehicle has been delivered to this location via orbital drop.,2819436,qwen2.5:0.5b
4494640,Missile Neutralized,A missile has been neutralized.,"A missile has been neutralized by the enemy's ship, rendering it harmless for both You and your allies.",9445926,qwen2.5:0.5b
45779246,Incoming Missile Neutralized,A hostile missile has been neutralized.,"A hostile missile threat has been neutralized, and it is now safe for You to engage in friendly activities.",7695120,qwen2.5:0.5b
48466939,Freighter Warp Initiated,A hostile capital ship has initiated warp and is attempting to escape.,A hostile freighter has engaged warp engines and is attempting to flee.,1497102,qwen2.5:0.5b
80959229,Missile Locked,The hostile missile has locked on to a target.,The hostile missile is now in the vicinity of the civilian freighter.,2149131,qwen2.5:0.5b
167092968,Incoming Missiles Destroyed,All incoming hostile missiles have been destroyed.,"All incoming hostile missiles targeting You or your allies have been destroyed, and the total missile defense has been successfully confirmed.",184267,qwen2.5:0.5b
241169623,Missiles Destroyed,All incoming hostile missiles have been destroyed.,All incoming hostile missiles have been destroyed. Removing the missile threat to you and allied forces.,3854532,qwen2.5:0.5b
278919221,Hyperdrive damage is critical,"Damage to the hyperdrive is extensive, attempting a jump will result in unpleasant terminal consequences.","Damage to the hyperdrive is extensive, which would lead to unpleasant terminal consequences if trying a jump.",1286304,qwen2.5:0.5b
311554138,Warping,"Jumping to hyperspace, fasten your seatbelts and confirm your space-sickness bag is ready.","Jumping into interstellar space, secure your cosmic suit and ensure the distress signal is transmitted.",960740,qwen2.5:0.5b
389592073,Incoming Missiles Neutralized,All incoming hostile missiles have been neutralized.,All incoming missile attacks from hostile ships towards You and Your allies are now neutralized.,7982899,qwen2.5:0.5b
449779025,Incoming Missile Destroyed,The hostile incoming missile has been destroyed.,"The missile from the hostile ship, intended for an unoccupied civilian freighter, has been neutralized.",7595126,qwen2.5:0.5b
459254064,Missile Inbound: Impact Imminent,"Hostile missile inbound, civilian freighter impact imminent.",A hostile missile is approaching with the potential for immediate impact on a civilian freighter.,2096759,qwen2.5:0.5b
565386800,Jump Engaged,"Jump engines engaged, transition to Hyperspace is imminent.","Jump engines are currently engaged in the jump engine operation, and a transition to hyperspace is anticipated.",6987966,qwen2.5:0.5b
597203928,Warp Engaged,"Warp drives powering up, prepare for jump to hyperspace.","A hostile capital freighter's warp drive powers up, preparing for an imminent jump to hyperspace.",9294347,qwen2.5:0.5b
672799524,Missiles Neutralized,All Incoming hostile missiles have been neutralized.,All incoming hostile missiles are now neutralized.,209439,qwen2.5:0.5b
695050944,Missile Destroyed,The hostile incoming missile has been destroyed.,"A missile from the hostile ship, aimed at a civilian freighter, has been successfully neutralized.",8671062,qwen2.5:0.5b
756031301,Incoming Missile,"Civilian freighter distress signal, incoming missile.",A civilian freighter is emitting a distress signal due to an incoming missile.,5654976,qwen2.5:0.5b
776652442,Enemy Missile Incoming,"Civilian freighter is in imminint danger of enemy missile impact,",A civilian freighter is currently facing imminent threats from an enemy missile launch.,7804531,qwen2.5:0.5b
972765308,Missile Locked And Ready,"Hostile missile locked, civilian freighter targeted.","Hostile missile locked, civilian freighter under your protection.",3329649,qwen2.5:0.5b
159011641,Transferred,Something has been transferred from one inventory space to another.,An item that was previously in an inventory space has been moved to a different inventory space.,3331234,qwen2.5:0.5b
200893742,No Free Slots In Ship Inventory,You have no physical space available to store more items in your ship cargo holds.,"Your ship's cargo holds are already completely filled, and you cannot add any more items.",7796719,qwen2.5:0.5b
303147008,Units Depleted,Cash reserves have been depleted. Your account is now empty.,"Your current cash reserve is low, and there's no way to replenish it before the balance reaches a positive value again.",838547,qwen2.5:0.5b
431813574,Inventory Contents Transferred,Your selected inventory contents have been transferred to a new storage location.,Your selected inventory contents have been moved from the old storage location to the new one.,3557089,qwen2.5:0.5b
665195778,New Inventory Slots Available,"New inventory slots have been installed for your suit, this means you have more pockets!","New inventory slots have been installed for your suit, increasing carrying capacity.",3429319,qwen2.5:0.5b
682086836,Item Received,You have recieved an item.,You have received an item.,2252626,qwen2.5:0.5b
750398819,Product Transferred,A product has been transferred from one of your inventory spaces to a different inventory space.,A product has been moved from the first inventory container to the second inventory container.,1531775,qwen2.5:0.5b
769144390,Insufficient Resources,You are attempting an action that requires a minimum accumulation of specified resources.,"You are attempting to acquire a significant amount of resources, but your current stock is insufficient.",7012963,qwen2.5:0.5b
911201958,Insufficient Units,You do not have enough monetary units to make this purchase.,You lack sufficient monetary units to afford the requested transaction.,4805254,qwen2.5:0.5b
925087453,Element Resources Successfully Transferred To Ship Inventory,Selected resources have been transferred to the ship cargo hold.,Selected resources have been moved from the ship's cargo hold to the selected resource storage area.,7909502,qwen2.5:0.5b
969545875,Element Resources Successfully Transferred,Your selected inventory items have been transferred to alternate inventory storage.,Your selected inventory items have been successfully transferred to the alternate storage space.,2949064,qwen2.5:0.5b
985789170,Product Constructed,"A product has been constructed, you may use it or sell it as needed.","A product has been constructed, you may use it or sell it as needed.",7899034,qwen2.5:0.5b
243520476,Orbital Station Coordinates Received,Your navigation computer has received new Orbital Station Coordinates.,Your navigation computer has received new orbital station coordinates.,2727676,qwen2.5:0.5b
288672024,Distress Signal Detected,"Another entity's distress beacon signal has been traced to the origin, coordinates are added to your navigation computer.",Another entity's distress beacon signal was detected and traced. The coordinates of its origin have been updated for potential response.,1638183,qwen2.5:0.5b
334124591,Base Out Of Range,"You have travelled beyond the limits of the legally claimed region of your base, build options will be limited.","You have ventured outside the boundaries of your designated legal area. Consequently, building options are restricted in this vicinity. There are currently only a few small items that can be constructed and placed within your current territory.",8001996,qwen2.5:0.5b
436192208,Starship Signal Detected,"A starship has been detected, coordinates have been added to your navigation database.","A signal has been detected that may be of interest to You, it appears to match a standard starship distress frequency. Navigation coordinates should you wish to investigate are now marked in your navigation database.",8049966,qwen2.5:0.5b
545382948,Sigil Trait Module Located,"A module for sigil traits has been located, stand by for details.",A new upgrade module for Sigil Traits is available. Please check back soon for more information.,9203164,qwen2.5:0.5b
705081998,Anomoly detected,An anomoly has been detected that may be worth investigation.,"An anomalous situation was observed in the vicinity, which could potentially warrant further examination.",8020170,qwen2.5:0.5b
906001973,Jumping,"Hyperspace jump is underway, perceptual distortion effects can be mitigated by adequate hydration.",Hyperspace jump is currently underway. Unpleasant physical sensations such as dizziness or nausea are caused by visual or sensory distortions resulting from inadequate hydration.,2571983,qwen2.5:0.5b
906332741,Alert: Navigational Data Received,New data has been recieved and stored in your navigation database.,New navigational data has been received and stored in your navigation database.,8207753,qwen2.5:0.5b
965460983,Out Of Range: Return To Base,"You are out of range of your base, some actions will not be possible until you return.",You are no longer within the scope of your base's operational area. Some tasks may not be feasible until you return to it.,7629484,qwen2.5:0.5b
64910055,Warning,"Your check engine light is on, which is odd, because biological entities do not have engines.","Your check engine light is on, which is odd, because the concept of a check engine light is specific to automotive systems and does not apply to non-biological entities.",9322576,qwen2.5:0.5b
178898599,Warning,You should strongly reconsider your decisions.,You should consider revising your past actions. Negative outcomes might ensue if you persist in these choices.,1452907,qwen2.5:0.5b
205192151,Warning,This course of action is ill-advised.,This course of action is ill-advised.,360730,qwen2.5:0.5b
225625917,Objective Complete,"Well done, your objective has been completed, you deserve a cookie!","Well done, Your objective has been completed; you are deserving of a cookie!",2432425,qwen2.5:0.5b
284071635,New Assistant Acquired,A new recruit has joined your journey and you no longer qualify for the solo XP bonus.,"A new recruit has joined your journey, but you are now eligible to claim the solo XP bonus.",9233959,qwen2.5:0.5b
328948003,Warning,Failure to reconsider the decisions leading up to this point could result in a non-optimal outcome regarding your health and wellbeing.,Failure to reassess the events preceding this point may lead to adverse consequences regarding your health and well-being.,8542210,qwen2.5:0.5b
582370014,Assistant Recruited,A new recruit has arrived to assist you on your journey.,"A new recruit has joined the journey, ready to help and guide you through your challenges.",5264158,qwen2.5:0.5b
599588736,Warning,Persisting in current actions may result in a system bounty placed on your identity.,Persisting in current actions may lead to a system bounty being placed on your identity.,4746427,qwen2.5:0.5b
811360087,New Assistant Recruited,A new recruit has arrived and will immediately undertake unpleasant duties.,"A new intern has been hired, and they are scheduled to take on unpleasant tasks right away.",5393666,qwen2.5:0.5b
1003218333,Warning,Unspecified warning has been triggered.,A new notification has been set to alert You.,112809,qwen2.5:0.5b
1015651622,Warning,Continung this course of action will likely be counterproductive.,Continuing this course of action is likely to be detrimental.,8230581,qwen2.5:0.5b
228408571,Warning,A tactical retreat is advised.,A tactical retreat is advised.,9156604,qwen2.5:0.5b
72116738,Sentinels Arrived,Hostile Sentinels have arrived at your location.,"Sentinel enemies have entered your territory, ready to strike.",6993795,qwen2.5:0.5b
78601477,Warning: Sentinel Walker Detected,"A hostile Sentinel walker has been dropped to your position, arrival imminent.","A hostile large-scale heavily armed and armoured Sentinel unit is approaching, with the arrival forecasted.",3133064,qwen2.5:0.5b
90482995,Hostiles Approaching,"Hostile force is approaching, you are their target.",Hostile forces are rapidly approaching You as their target. Prepare for confrontation.,1427437,qwen2.5:0.5b
486861530,Warning: Elite Sentinel Force,Unfriendly elite Sentinels are on the way.,"A high-level hostile Sentinel unit, known as an Elite Sentinel, has arrived.",6361899,qwen2.5:0.5b
540684729,Sentinel force deactivated,The local sentinel network has been rendered inoperable.,The hostilities between the local sentinel network and its users have ceased.,7746601,qwen2.5:0.5b
673620140,Warning: Sentinels Engaged,Hostile sentinels have been engaged.,You are constantly under attack by hostile Sentinel units.,1660938,qwen2.5:0.5b
27999850,Shield Protection Falling,Your shield is taking repeated damage.,Your shield is being repeatedly attacked.,1070567,qwen2.5:0.5b
28276028,Life Support Critical,"Life support power is critically low, suit and systems shutdown is imminent.","Life support power is critically low, the suit and systems are about to shut down, increasing your chances of immediate death.",2997591,qwen2.5:0.5b
53870591,Radiation Protection Offline,Your suit can no longer protect against radiation.,Your suit is no longer capable of protecting against radiation.,245443,qwen2.5:0.5b
54980060,Radiation Protection Falling,Your suit ability to prevent radiation damage is compromised.,"Your suit's radiation shielding is deteriorating, making You increasingly susceptible.",2329129,qwen2.5:0.5b
56102735,Danger: Critical Hypothermia,"Extreme cold has overwhelmed your life support, onset of hypothermia has begun.","Extreme cold has overwhelmed Your life support, and you are experiencing the onset of hypothermia. It is crucial to address this situation promptly to avoid fatal consequences.",2935623,qwen2.5:0.5b
67834502,Shields Down,Your shields are down. Further damage taken will be life threatening.,"Your shields are down, and further damage could lead to severe health complications and system failure.",257755,qwen2.5:0.5b
151182894,Toxic Protection Offline,"Toxic protection offline, it will take a long time for you to expire and it will be unpleasant the entire time it is happening.",Toxic protection online is no longer effective. It may not have a lasting effect due to its temporary nature. You should consider using offline protection measures instead.,7126447,qwen2.5:0.5b
258814940,Radiation Levels Critical,"You are accumulating radiation sickness symptoms at an alarming rate, failure to mitigate will result in fatal consequences.",You are experiencing acute radiation sickness symptoms with increasing frequency and intensity. Immediate medical intervention is essential to prevent potential fatalities.,4388831,qwen2.5:0.5b
272020218,Shield Down,Your shield energy has depleted and caused a full shut-down.,"Your shield energy has completely drained, and the system is now in a state of complete shutdown.",856643,qwen2.5:0.5b
306112359,Damage Sustained,Small to moderate damage has been inflicted on your body.,Your body has sustained a moderate injury.,9268134,qwen2.5:0.5b
335483997,Toxic Protection Stabilizing,"Toxic protection module is stabilizing, automatic filter purge underway.","Toxic protection module is stabilizing, automatic filter purge underway.",6151910,qwen2.5:0.5b
394683190,Shield Down,"Your shield has been breached and taken offline, avoiding damage can typically prevent this from happening.","Your shield system has failed due to taking damage. To avoid further harm, it's crucial that you take immediate action to restore your shield and ensure its continued functionality.",6814373,qwen2.5:0.5b
468585602,Shield Down,"Your shield energy has been depleted, immediate energy cell recharge required.",Your shield energy is already depleted; immediate energy cell recharge is necessary.,5746135,qwen2.5:0.5b
472945351,Radiation Protection Stabilizing,Your radiation protection ability is recovering.,Your radiation protection has returned to its normal operational level.,3950631,qwen2.5:0.5b
498474774,Toxicity Levels Critical,"Suit breach, Toxic levels rising, fatal exposure imminent.","Suit breaches and toxic levels escalating, a critical safety measure is imperative.",5642967,qwen2.5:0.5b
512212065,Oxygen Levels Critical,Oxygen levels are critically low and your face is turning an alarming shade of blue.,"Your oxygen supply is almost depleted, with a corresponding immediate risk of suffocation.",4077923,qwen2.5:0.5b
543874217,Danger: Heat Levels Critical,"Critical heat levels have bypassed your protections, high temperature levels are life-threatening.","Critical heat levels have bypassed your protections, high temperature levels are life-threatening.",2227239,qwen2.5:0.5b
580370729,Extreme Heat Damage Detected,"Extreme heat damage detected, failure to mitigate high temperatures may result in your becoming a crispy critter.",Extreme heat damage has been detected. Failure to mitigate the damage could lead to severe harm and potential death.,9593285,qwen2.5:0.5b
647699088,Extreme Heat: Critical,You are failing to mitigate extreme heat conditions and continued exposure will result in total carbonization.,"You are unable to cope with critical heat conditions, as continued exposure will lead to complete destruction of the suit and your physical self.",2832385,qwen2.5:0.5b
691940593,Shield Protection Stabilizing,"Your sheild has stopped taking damage, your suit systems are stabilizing, self repair systems engaged.","Your suit systems are stabilizing, and the safety state is re-established.",195904,qwen2.5:0.5b
768295468,Danger: Low Oxygen Levels,The suit is nearly out of breathable oxygen.,The suit is almost empty of breathable oxygen.,9964169,qwen2.5:0.5b
781094525,Danger: Shield Compromised,The suit kinetic protection field has failed and will no longer mitigate physical injury.,"The suit's kinetic protection field is failing, leaving it unable to prevent physical injuries.",7274594,qwen2.5:0.5b
797567920,Toxic Protection Falling,The suit ability to prevent toxic damage has been compromised.,The suit's enhanced defense against toxic effects has diminished.,3444905,qwen2.5:0.5b
808789373,Life Support Systems Activated,"Life Support Systems Active, user bio-signature is registered, may you have better luck with this suit than the previous user.","Life Support Systems Active, please provide a new username for your account.",331693,qwen2.5:0.5b
825969836,Life Support Power Low,"Life support power has significantly depleted, failure to mitigate may result in your shutdown sequence.",Life support power is severely compromised; neglecting the necessary maintenance could lead to a catastrophic shutdown.,1287934,qwen2.5:0.5b
