Filename,Transcription,Category,Intent,WEM_number,Used
43830316.WEM,Technology Repaired,Equipment Status,Repairs have been completed on a damaged piece of {name}'s installed equipment.,43830316,
117536789.WEM,Additional Resources Required,Equipment Status,Additional resources are needed by {name} to build the desired item.,117536789,
260557941.wem,Backup generators online,Equipment Status,Backup generators have been engaged.,260557941,No
299876357.WEM,Freighter Acquired,Equipment Status,"{name} has acquired a new freighter.  It is in poor condition, requiring maintenance and repair.",299876357,No
315361790.WEM,Multi-Tool Charge Depleted,Equipment Status,{name}'s Multi-tool power is completely depleted. Also provide a recommendation to monitor power levels more closely while using the equipment to avoid shutdown during operation.,315361790,
337859118.WEM,Base Computer Online,Equipment Status,The computer for the new base is online and operational. The full build menu is now accessible.,337859118,No
353234571.WEM,New Weapon Available,Equipment Status,"A new weapon has become available for {name}'s use, and may be retrieved when desired.",353234571,No
370738335.wem,Emergency damage recovery system engaged,Equipment Status,"Severe damage has been sustained by {name}'s equipment, and automated repair systems are now active.",370738335,
425064686.WEM,Arial Propulsion Jet Pack Online,Equipment Status,The jetpack has passed all status checks and is fully operational. Flight control systems have been linked to the Suit subsystems.,425064686,
462791110.wem,"Welcome home, Commander",Equipment Status,{name} has arrived at a safe location.,462791110,No
474358890.WEM,New Freighter Acquired,Equipment Status,a new freighter in poor condition has been acquired by {name}.,474358890,
487034870.WEM,Internal View Selected,Equipment Status,{name}'s first-person camera view of the suit or vehicle has been engaged.,487034870,No
496984207.WEM,Technology Offline,Equipment Status,A component of {name}'s suit or equipment has been damaged and is now offline.,496984207,
589305615.WEM,Shield Kinetic System Online,Equipment Status,{name} Has gained full consciousness. The suit’s protective kinetic shield subsystem has been activated.,589305615,
634281443.WEM,Commencing Atlas System Suit Initialization,Equipment Status,It is time for {name} to wake up.  The Atlas Suit and AI companion are initializing and running self-diagnostic processes to prepare for user integration.,634281443,
639001585.WEM,Suit Power Cells Depleted,Equipment Status,"{name}'s suit has exhausted its power reserves, rendering most functions inactive until recharged.",639001585,
757274367.WEM,Technology Installed,Equipment Status,A new technology module has been successfully installed by {name}.,757274367,
770752691.WEM,Scanner Damaged Repair Required,Equipment Status,The scanner has been rendered inoperable; {name} must initiate repairs to restore functionality.,770752691,No
781458145.WEM,Equipment Damaged,Equipment Status,"{name}'s equipment has sustained significant damage, causing some systems or functions to be impaired or offline. Repairs or recalibration are required.",781458145,No
911633476.WEM,Initialization Sequence Complete,Equipment Status,"Startup routine completed; suit interface and systems are now online, and ready for {name} to engage in decision making tasks.",911633476,
929033162.WEM,Device Critically Damaged,Equipment Status,"One or more critical components of {name}'s currently equipped tool are severely damaged, impairing its function. Repair or replacement is required to restore full operation.",929033162,No
934987809.WEM,No Active Technology in Multi Tool,Equipment Status,{name}'s multitool has no active modules or usable systems. There is a total lack of function.,934987809,No
935180311.WEM,New Ship Now Available,Equipment Status,A new starship is available for {name} to acquire.,935180311,No
1006934470.WEM,Multi Tool And Mining Laser Attachment Operational,Equipment Status,{name}'s multi-tool and mining laser attachment are fully operational and ready for use.,1006934470,
1037434146.WEM,External View Selected,Equipment Status,"Switched to external camera view, offering a perspective outside of {name}'s suit or current vehicle.",1037434146,No
1038991804.WEM,New Technology Discovered,Equipment Status,a new piece of technology has been obtained. Blueprint scans are added to {name}'s personal database and may be accessed at any time for review.,1038991804,
976899439.WEM,Extreme Night Conditions Detected,Extreme Conditions,"{name} has encountered extremely hazardous underground conditions during the night cycle, posing a threat to  life support and safety.",976899439,
29330265.WEM,Extreme Water Conditions Detected,Extreme Conditions,{name}'s exposure to extreme water conditions while immersed may lead to impaired functionality and bodily harm.,29330265,
152151960.WEM,Extreme Conditions Detected,Extreme Conditions,"Local conditions are exceeding the suit's rated safety limits, escalating the risks to {name}'s health and equipment.",152151960,
213575654.WEM,Extreme Subterranean Conditions Detected,Extreme Conditions,{name} has encountered extremely hazardous underground conditions that exceed safe limits and may impact equipment or safety.,213575654,
489352730.WEM,Extreme Water Conditions Detected,Extreme Conditions,{name}'s exposure to extreme water conditions while immersed may lead to unpleasant consequences.,489352730,
570428671.WEM,Extreme Conditions Detected,Extreme Conditions,"Local conditions have escalated in intensity to extremely hazardous levels, posing risks to {name}'s health and equipment.",570428671,
653680659.WEM,Extreme Subterranean Conditions Detected,Extreme Conditions,There are hazardous subterranean conditions that could compromise {name}'s life expectancy.,653680659,
733521599.WEM,Extreme Night Conditions Detected,Extreme Conditions,"Extreme night-time hazards have been detected, which may threaten {name}'s suit integrity and safety.",733521599,
711767177.wem,Warning: civilian shields depleted,Freighter Combat,"A civilian freighter is at risk of immediate destruction, it's defenses are inactive.",711767177,
160765928.wem,Civilian freighter destroyed,Freighter Combat,"A civilian freighter under attack from pirates asked {name}'s for protection but help did not arrive in time. the freighter was destroyed, all personnel onboard have perished. The destruction is final, no rescue is possible. ",160765928,
954591441.wem,Pirate engines neutralized,Freighter Escape,"The engines of a hostile ship have been disabled, leaving it unable to maneuver.",954591441,
278919221.wem,Hyperdrive damage is critical,Freighter Escape,A hostile capital starship is attempting a hyperspace jump with critically damaged engines.  There is still time to disable the ship before it escapes.,278919221,
311554138.WEM,Freighter Warp Initiated,Freighter Escape,A hostile capital starship's warp system is activating and a jump is imminent.,311554138,
48466939.WEM,Freighter Warp Initiated,Freighter Escape,A hostile capital starship's warp system is activating and a jump is imminent.,48466939,
565386800.WEM,Freighter Warp Initiated,Freighter Escape,A hostile capital starship's warp system is activating and a jump is imminent.,565386800,
597203928.WEM,Freighter Warp Initiated,Freighter Escape,A hostile capital starship's warp system is activating and a jump is imminent.,597203928,
330331555.WEM,Income Received,Increased Funds,Funds have been received.,330331555,
543874217.WEM,Danger: Heat Levels Critical,Severe Heat,"Critical heat levels have bypassed {name}'s protective systems, resulting in life-threatening high temperatures.",543874217,
580370729.WEM,Extreme Heat Damage Detected,Severe Heat,"Extreme heat damage has been detected; failure to mitigate this will cause {name} severe harm, possibly fatal. ",580370729,
647699088.WEM,Extreme Heat: Critical,Severe Heat,"unable to cope with critical heat conditions. Continued exposure will result in total destruction of the suit, and complete carbonizaton of it's biological contents.",647699088,
303147008.WEM,Funds Depleted,Insufficient Funds,"no Funds available, current balance is zero.",303147008,
911201958.WEM,Insufficient Funds,Insufficient Funds,The amount of Funds on hand are insufficient for {name} to complete the requested purchase.,911201958,
980411923.WEM,Product Received,Item Inventory,A product or item has been delivered and added to inventory.,980411923,
780959188.WEM,Inventory Full,Item Inventory,"The inventory space is completely full, preventing additional item storage. ",780959188,
383184645.WEM,Inventory Full,Item Inventory,"The inventory space is completely full, preventing additional item storage. ",383184645,
1023688906.WEM,Collectible Received,Item Inventory,A single item intended for personal decoration has been added to inventory.,1023688906,
159011641.WEM,Transferred,Item Inventory,An inventory item has been moved from slot or container to another slot or container.,159011641,No
200893742.WEM,No Free Slots In Ship Inventory,Item Inventory,The ship's inventory is full. No additional items can be stored until space is cleared.,200893742,
431813574.WEM,Inventory Contents Transferred,Item Inventory,Selected inventory contents have been moved to a new storage location or compartment.,431813574,No
665195778.WEM,New Inventory Slots Available,Item Inventory,"Additional inventory slots have been installed in the suit, increasing carrying capacity.",665195778,No
682086836.WEM,Item Received,Item Inventory,"{name} received an item, which is now added to inventory.",682086836,
750398819.WEM,Product Transferred,Item Inventory,An item has been moved from one inventory container to another.,750398819,No
769144390.WEM,Insufficient Resources,Item Inventory,{name} attempted an action requiring resources not currently possessed in sufficient quantity.,769144390,
925087453.WEM,Element Resources Successfully Transferred To Ship Inventory,Item Inventory,Selected resources have been successfully transferred to ship cargo hold.,925087453,
969545875.WEM,Element Resources Successfully Transferred,Item Inventory,Selected inventory items have been successfully transferred to an alternate unspecified storage space.,969545875,
985789170.WEM,Product Constructed,Item Inventory,The product has been correctly constructed.,985789170,
28276028.WEM,Life Support Critical,Life Support,"Life support power has dropped to critical levels, risking imminent shutdown of suit systems, loss of equipment functions, and biological demise.",28276028,
808789373.WEM,Life Support Systems Activated,Life Support,Life support systems have activated and registered a bio-signature. Entity's preferred designation is logged as '{name}'.,808789373,
825969836.WEM,Life Support Power Low,Life Support,Life support power is significantly depleted. Failure to take corrective action will result in recalculation of expiration date of the suit's biological contents.,825969836,
865668553.wem,Life support level falling,Life Support,Life support power is dangerously low and must be restored to prevent {name}'s death.,865668553,
1061736374.WEM,Life Support Offline,Life Support,"Life support systems are now offline, and suit systems are beginning a shut down sequence. If this sequence completes, it will be very difficult for {name} to regain consciousness.",1061736374,
449779025.WEM,Incoming Missiles Destroyed,Missile Destroyed,All launched hostile missiles have been destroyed.,449779025,
389592073.WEM,Incoming Missiles Destroyed,Missile Destroyed,All launched hostile missiles have been destroyed.,389592073,
241169623.WEM,Incoming Missiles Destroyed,Missile Destroyed,All launched hostile missiles have been destroyed.,241169623,
672799524.WEM,Incoming Missiles Destroyed,Missile Destroyed,All launched hostile missiles have been destroyed.,672799524,
167092968.WEM,Incoming Missiles Destroyed,Missile Destroyed,All launched hostile missiles have been destroyed.,167092968,
4494640.WEM,Incoming Missiles Destroyed,Missile Destroyed,All launched hostile missiles have been destroyed.,4494640,
45779246.WEM,Incoming Missiles Destroyed,Missile Destroyed,All launched hostile missiles have been destroyed.,45779246,
695050944.WEM,Incoming Missiles Destroyed,Missile Destroyed,All launched hostile missiles have been destroyed.,695050944,
459254064.WEM,Enemy Missile Incoming,Missile Launch,"During a space battle, a missile has been launched by hostile forces at a civilian freighter.  ",459254064,
245522736.WEM,Enemy Missile Incoming,Missile Launch,"A hostile missile has been launched at a civilian freighter.  If the missile hits, it will cause severe damage to the freighter.",245522736,
80959229.WEM,Enemy Missile Incoming,Missile Launch,"A hostile missile has been launched at a civilian freighter.  If the missile hits, it will cause severe damage to the freighter.",80959229,
776652442.WEM,Enemy Missile Incoming,Missile Launch,"A hostile missile has been launched at a civilian freighter.  If the missile hits, it will cause severe damage to the freighter.",776652442,
972765308.WEM,Enemy Missile Incoming,Missile Launch,"A hostile missile has been launched at a civilian freighter.  If the missile hits, it will cause severe damage to the freighter.",972765308,
756031301.WEM,Enemy Missile Incoming,Missile Launch,"A hostile missile has been launched at a civilian freighter.  If the missile hits, it will cause severe damage to the freighter.",756031301,
126319994.WEM,Secure Transmission Module Located,Navigation,A communications module has been found and its data is being downloaded to {name}'s navigation system.,126319994,
243520476.WEM,Orbital Station Coordinates Received,Navigation,New coordinates for a previously unvisited orbital station have been uploaded to {name}'s navigation system.,243520476,
288672024.WEM,Distress Signal Detected,Navigation,navigation computer has detected and traced a distress signal from another entity. Coordinates of the signal’s origin have been added to {name}'s navigation database for potential response.,288672024,
334124591.WEM,Base Out Of Range,Navigation,{name} is outside the legally claimed region boundaries of the current base. Outside the base there are a only a handful of small portable items availabe to be constructed and placed.,334124591,No
436192208.WEM,Starship Signal Detected,Navigation,"A signal has been detected that may be of interest, it appears to match a standard starship distress frequency. Navigation coordinates are marked for {name} to investigate.",436192208,
545382948.WEM,Sigil Trait Module Located,Navigation,"A rare upgrade module relevant to Sigil Traits has been found, it awaits interaction.",545382948,No
705081998.wem,Anomoly detected,Navigation,There is an unusual phenomenon detected nearby that {name}'s may find worth investigating.,705081998,No
906001973.WEM,Jumping,Navigation,"The hyperspace jump is currently underway. Unpleasant physical sensations such as dizziness or nausea as a result of visual or sensory distortions is absolutely normal, but it may be difficult to resist succombing to the effects.",906001973,No
906332741.WEM,Alert: Navigational Data Received,Navigation,New navigational data has been received and stored in navigation database.,906332741,
965460983.WEM,Out Of Range: Return To Base,Navigation,{name} is outside of the current base's functional area. Most construction opportunities are disabled outside the base boundary.,965460983,No
64910055.WEM,Warning,Notification,{name} is acting irrationally or unsustainably.,64910055,
178898599.WEM,Warning,Notification,"{name} may want to reconsider recent choices, negative consequences may follow if insistance on continuing with current actions.",178898599,
205192151.WEM,Warning,Notification,"{name}'s current choice of action is not recommended, and may be dangerous or inefficient.",205192151,
225625917.WEM,Objective Complete,Notification,{name}'s mission or assigned task has been successfully completed. A suggestion to partake of a self administered food reward would be appropriate.,225625917,
284071635.WEM,New Assistant Acquired,Notification,A new pilot has joined {name}'s fleet.,284071635,No
328948003.WEM,Warning,Notification,Continued poor decision making could lead to {name}'s harm or disadvantage.,328948003,
582370014.WEM,Assistant Recruited,Notification,A new recruit has joined {name}'s journey.,582370014,No
599588736.WEM,Warning,Notification,{name}'s actions may attract unwelcome attention from local authorities.,599588736,
811360087.WEM,New Assistant Recruited,Notification,A new intern has been recruited to assist {name}.,811360087,No
1003218333.WEM,Warning,Notification,Reccommend {name}'s reviewal of immediate surroundings for possible threats.,1003218333,
1015651622.WEM,Warning,Notification,{name}'s current behavior may hinder progress or cause problems.,1015651622,
228408571.WEM,Warning,Notification,{name} should consider disengaging and retreating from the current situation for safety or strategic advantage.,228408571,
512212065.WEM,Oxygen Levels Critical,Oxygen Level,"{name}'s oxygen supply is nearly depleted, with a corresponding immediate risk of suffocation. ",512212065,
768295468.WEM,Danger: Low Oxygen Levels,Oxygen Level,{name}'s suit is nearly depleted of breathable oxygen.,768295468,
656990144.WEM,Extreme Sentinel Planet,Personal Combat,This planet is inhabited by Extremely hostile Sentinel robots that will attack on sight. This is a HOSTILE COMBAT SITUATION. DANGER IS EVER-PRESENT.,656990144,
240393094.WEM,Warning: Sentinel Drones Activated,Personal Combat,Multiple hostile drones are converging on {name}'s position.,240393094,
884631197.WEM,Weapon Charge Depleted,Personal Combat,"{name}'s weapon has no energy or ammunition left, the weapon needs recharging or reloading.",884631197,
386328035.WEM,Hostile Scan Detected,Personal Combat,"A hostile source is scanning {name}. This is a threat in progress, Urgency required.",386328035,
236472322.WEM,Warning: Sentinel Combat Unit Deployed,Personal Combat,An advanced Sentinel enemy unit is hunting {name} due to recent actions.,236472322,
583871976.WEM,Warning: Threat Detected,Personal Combat,There is a nearby danger or enemy presence that may threaten {name}'s safety.,583871976,
72116738.wem,Sentinels Arrived,Personal Combat,Sentinel enemy units have reached the current location and are preparing to attack {name}.,72116738,
78601477.WEM,Warning: Sentinel Walker Detected,Personal Combat,A hostile large-scale heavily armed and armoured Sentinel unit has been detected approaching {name}'s location.  It's weapons are active and it is scanning.,78601477,
90482995.WEM,Hostiles Approaching,Personal Combat,Hostile forces are approaching {name} rapidly. Prepare for confrontation.,90482995,
486861530.WEM,Warning: Elite Sentinel Force,Personal Combat,"A high-level hostile Sentinel unit is approaching, seeking to engage {name} in combat.",486861530,
540684729.wem,Sentinel force deactivated,Personal Combat,Hostile Sentinel network in the area is temporarily disabled.,540684729,
673620140.WEM,Warning: Sentinels Engaged,Personal Combat,{name} is actively in combat with hostile Sentinel units.,673620140,
306112359.WEM,Damage Sustained,Personal Protection,{name}'s  has sustained moderate physical damage.,306112359,No
943635243.WEM,Critical Damage Taken,Personal Protection,Significant physical damage has been inflicted on {name}.,943635243,No
247183138.WEM,Thermal Protection Falling,Personal Hazard Protection,"{name}'s Personal temperature shielding is failing, ability to protect against all temperature extremes is compromised.",247183138,
899320928.WEM,Thermal Protection Offline,Personal Hazard Protection,Thermal regulation systems have failed; further exposure to extreme temperatures will negatively affect {name}'s health.,899320928,
951631813.WEM,Temperature Levels Stabilizing,Personal Hazard Protection,Local temperature conditions are now within {name}'s preferred comfort range.,951631813,
28697689.WEM,Radiation Damage Detected,Radiation Exposure,Detected exposure to dangerous radiation levels that may severely impact {name}'s long term health.,28697689,
124237937.WEM,Extreme Night Radiation Detected,Radiation Exposure,Detection systems have registered extreme radiation levels during the local night cycle.,124237937,
696022064.WEM,Extreme Radiation Detected,Radiation Exposure,"Extremely high levels of radiation are detected nearby, requiring {name}'s immediate implementation of protective measures.",696022064,
824368356.WEM,Extreme Subterranean Radiation Detected,Radiation Exposure,"Extremely high subterranean radiation levels have been detected, posing severe risk to {name}'s health and equipment.",824368356,
899453751.WEM,Radiation Leak Detected,Radiation Exposure,A nearby source of intense radiation is posing a threat to {name}.,899453751,
53870591.WEM,Radiation Protection Offline,Radiation Exposure,"{name}'s suit's radiation shielding has completely failed, is now unable to mitigate the effects of radiation exposure. ",53870591,
54980060.WEM,Radiation Protection Falling,Radiation Exposure,"The suit’s radiation shielding is degrading, {name}'s survival is increasingly vulnerable.",54980060,
258814940.WEM,Radiation Levels Critical,Radiation Exposure,"Radiation exposure has reached a critical threshold, {name}'s continued exposure could prove fatal.",258814940,
472945351.WEM,Radiation Protection Stabilizing,Radiation Exposure,Radiation protection is returning to normal operational levels.,472945351,
957514183.WEM,Danger: Radiation Breach,Radiation Exposure,"Radiation shielding has overloaded and failed, increasing risk of irreversible loss of {name}'s biological cohesion.",957514183,
330757140.WEM,Hostile Ships Defeated,Starship Combat,{name} survived a starship battle.  Well done.,330757140,
968718536.WEM,Hostile Ships Approaching,Starship Combat,"Hostile starships are approaching, their weapons are armed and ready.",968718536,
28199458.WEM,Hostile System: Weapons Engaged,Starship Combat,"Hostile forces have already initiated combat with local defenses in the system prior to arrival, and {name}'s starship has activated combat readiness protocols.",28199458,
49616634.wem,Engaging Attack Ships,Starship Combat,Attacking starships have been marked as valid weapon targets by {name}'s combat computer.,49616634,
162710077.wem,Sentinel Starships Inbound,Starship Combat,Hostile Sentinel starships are approaching to intercept {name}.,162710077,
205039265.WEM,New Bounty Available,Starship Combat,The Mercenary's Guild has detected a threat in this system. A reward is offered for capturing or destroying the rogue pilot.,205039265,No
310439562.WEM,Warning: Sentinel Interceptors Incoming,Starship Combat,Sentinel starship reinforcements are inbound to engage {name}.,310439562,
472197709.WEM,Target Acquired,Starship Combat,A valid target is now being tracked by {name}'s combat computer.,472197709,
494454783.WEM,Pirate Ship At Large: Bounty Available,Starship Combat,"A hostile starship is roaming this solar system, local authorites have offered a reward for it's capture or destruction.",494454783,No
510448383.WEM,Target Locked,Starship Combat,Target lock established; {name}'s starship weapons accuracy will be noticeably improved for the active target.,510448383,
514543818.WEM,Pirate Spotted: Bounty Available,Starship Combat,Pirate activity has been detected.   there is a reward for capturing or destroying the rogue space pirate.,514543818,No
594696652.wem,Sentinel ships in combat range,Starship Combat,Hostile Sentinel starships are close enough to engage {name} with weapons.,594696652,
797446331.WEM,Hostile System: Engage Weapons,Starship Combat,"The star system is under hostile control, and weapons systems must be engaged immediately as the occupiers have detected {name} and are engaging in combat.",797446331,
984473045.WEM,Warning: Hostile System,Starship Combat,{name} entered a hostile-controlled star system where enemies will likely attack.,984473045,
13628945.wem,Atmospheric interference,Starship Movement,{name}'s starship is unable to perform the attempted action while inside a planetary atmosphere.,13628945,No
137307545.wem,Station Proximity,Starship Movement,{name}'s starship is unable to perform the attempted action while too close to a space station.,137307545,No
197643865.WEM,Pulse Drive Engaged,Starship Movement,{name}'s ship has activated its pulse drive for rapid travel within the solar system.,197643865,No
294741566.wem,Local enemy disruption,Starship Movement,Hostile forces are using a device that is restricting {name}'s speed.,294741566,No
375834098.wem,Landing sequence initiated,Starship Movement,The autopilot landing procedure has started and {name}'s ship is descending for touchdown.,375834098,No
393574373.wem,Planetary interference,Starship Movement,"{name} is attempting a starship manouever that is intended for deep space, but the starship is currently inside a planetary atmosphere.",393574373,No
422143449.WEM,Landing Area Not Clear,Starship Movement,"{name}'s starship autopilot has determined the chosen landing site to be unsafe or inaccessible, find a new landing location.",422143449,No
469963216.WEM,Initiating Landing Sequence,Starship Movement,The guidance computer has assumed control to perform an automated landing sequence.,469963216,No
556538925.wem,Large ship proximity,Starship Movement,{name}'s starship is unable to perform the attempted action while in proximity to a large ship.,556538925,No
629992665.wem,Atmospheric interference,Starship Movement,{name}'s starship is unable to perform the attempted action while inside a planetary atmosphere.,629992665,No
769872372.wem,Large ship proximity,Starship Movement,{name}'s starship is unable to perform the attempted action while in proximity to a large ship.,769872372,No
824079454.wem,Space station proximity,Starship Movement,{name}'s starship is unable to perform the attempted action while too close to a space station.,824079454,No
396681446.wem,Nearby toxins detected,Toxic Hazard,Hazardous toxins are damaging {name}'s  suit filters.,396681446,
50465612.WEM,Extreme Subterranean Toxicity Detected,Toxic Hazard,"Concentrated Toxic substances are detected underground, capable of breaching {name}'s toxic protections.",50465612,
208814791.WEM,Extreme Water Toxicity Detected,Toxic Hazard,Water toxicity levels have reached extreme danger thresholds while {name} is immersed.,208814791,
490165063.WEM,Extreme Night Toxicity Detected,Toxic Hazard,"Extremely toxic conditions have been detected during the night cycle, posing significant danger if {name} is exposed. ",490165063,
675954230.WEM,Extreme Toxicity Detected,Toxic Hazard,"a region of extreme hazardous toxicity, requiring immediate action to avoid {name}'s damage or poisoning.",675954230,
151182894.WEM,Toxic Protection Offline,Toxic Hazard,The suit can no longer protect {name}'s from toxins and severe prolonged damage is expected.,151182894,
335483997.WEM,Toxic Protection Stabilizing,Toxic Hazard,Decontamination protocols activating; {name}'s toxic shielding is regaining function.,335483997,
498474774.WEM,Toxicity Levels Critical,Toxic Hazard,Toxic contamination has reached levels that will quickly be fatal; immediate safety action required.,498474774,
797567920.WEM,Toxic Protection Falling,Toxic Hazard,Toxic shielding is weakening; omminent direct exposure to ambient poisons.,797567920,
973658086.WEM,Danger: Toxic Rain Breach,Toxic Hazard,"Life-threatening toxic substances have breached the suit’s protective barriers, posing immediate danger to {name}'s health.",973658086,
1063828486.WEM,Toxic Damage Detected,Toxic Hazard,"Toxins detected, direct exposure may cause {name} to experience severe physical side effects.",1063828486,
548071497.WEM,Vehicle Deployed,Vehicle Readiness,{name}'s selected vehicle has been successfully deployed to the current location.,548071497,
670654758.WEM,Vehicle Acquired,Vehicle Readiness,A new vehicle or starship has been added to {name}'s collection.,670654758,No
682649339.WEM,New Vehicle Acquired,Vehicle Readiness,A new vehicle has been added to {name}'s accessible assets.,682649339,
729203380.WEM,Vehicle Mobilized,Vehicle Readiness,A vehicle is ready for use at {name}'s location.,729203380,
1045889204.WEM,Vehicle Summoned,Vehicle Readiness,A vehicle has been summoned and delivered via orbital drop.,1045889204,
531979220.WEM,Fuel Required,Vehicle Status,Vehicle fuel levels are below operational thresholds and {name} must replenish reserves to continue normal function.,531979220,
579975330.WEM,Vehicle Damage Sustained,Vehicle Status,{name}'s vehicle has taken medium damage.  Do not speculate on the source of damage.,579975330,
740830728.WEM,Refuel Vehicle,Vehicle Status,{name}'s vehicle is critically low on fuel and requires immediate refueling or recharging.,740830728,
891464212.WEM,Fuel Depleted,Vehicle Status,"vehicle fuel reserves are fully depleted, disabling {name}'s vehicle operation. ",891464212,
974964870.WEM,Damage Sustained To Vehicle,Vehicle Status,{name}'s vehicle has sustained light to moderate damage and the safety harness has engaged as a protective response.,974964870,No
460766259.wem,*autophage noises*,zz_REFERENCE,"UNUSED AT THIS TIME, LEAVE WEM NUMBER BLANK",,No
487346738.wem,*autophage noises*,zz_REFERENCE,"UNUSED AT THIS TIME, LEAVE WEM NUMBER BLANK",,No
61285078.wem,*autophage noises*,zz_REFERENCE,"UNUSED AT THIS TIME, LEAVE WEM NUMBER BLANK",,No
836418899.wem,*autophage noises*,zz_REFERENCE,"UNUSED AT THIS TIME, LEAVE WEM NUMBER BLANK",,No
862236259.wem,*autophage noises*,zz_REFERENCE,"UNUSED AT THIS TIME, LEAVE WEM NUMBER BLANK",,No
946171572.wem,*autophage noises*,zz_REFERENCE,"UNUSED AT THIS TIME, LEAVE WEM NUMBER BLANK",,No
998327261.wem,*autophage noises*,zz_REFERENCE,"UNUSED AT THIS TIME, LEAVE WEM NUMBER BLANK",,No
752301356.WEM,*autophage noises*,zz_REFERENCE,"UNUSED AT THIS TIME, LEAVE WEM NUMBER BLANK",,No
